ARK | Intel® Product Specification Comparison
01/14/2024 01:06:53 PM
 ,Intel® Xeon® D-1823NT Processor ,Intel® Xeon® D-1834 Processor ,Intel® Xeon® D-1846 Processor ,Intel® Xeon® D-1813NT Processor ,Intel® Xeon® D-1848TER Processor ,Intel® Xeon® D-1844NT Processor ,Intel® Xeon® D-2832NT Processor ,Intel® Xeon® D-2896NT Processor ,Intel® Xeon® D-2899NT Processor ,Intel® Xeon® D-2843NT Processor ,Intel® Xeon® D-2896TER Processor ,Intel® Xeon® D-2876NT Processor ,Intel® Core™ i9 processor 14900HX ,Intel® Core™ i7 processor 14650HX ,Intel® Core™ i7 processor 14700HX ,Intel® Core™ i5 processor 14450HX ,Intel® Core™ i5 processor 14500HX ,Intel® Xeon® E-2488 Processor ,Intel® Xeon® E-2478 Processor ,Intel® Xeon® E-2468 Processor ,Intel® Xeon® E-2486 Processor ,Intel® Xeon® E-2456 Processor ,Intel® Xeon® E-2436 Processor ,Intel® Xeon® E-2434 Processor ,Intel® Xeon® E-2414 Processor ,Intel® Xeon® Gold 6433N Processor ,Intel® Xeon® Gold 6433NE Processor ,Intel® Xeon® Gold 6423N Processor ,Intel® Xeon® Silver 4509Y Processor ,Intel® Xeon® Silver 4510 Processor ,Intel® Xeon® Silver 4510T Processor ,Intel® Xeon® Bronze 3508U Processor ,Intel® Core™ i9 processor 14900K ,Intel® Core™ i3 processor 14100 ,Intel® Core™ i3 processor 14100T ,Intel® Core™ 3 processor 100U ,Intel® Core™ i5 processor 14400F ,Intel® Core™ i5 processor 14600KF ,Intel® Core™ i5 processor 14500T ,Intel® Core™ i7 processor 14700 ,Intel® Core™ i5 processor 14600T ,Intel® Core™ i7 processor 14700K ,Intel® Core™ i5 processor 14500 ,Intel® Core™ i3 processor 14100F ,Intel® Core™ i9 processor 14900KF ,Intel® Core™ i5 processor 14400 ,Intel® Core™ i7 processor 14700KF ,Intel® Core™ i5 processor 14400T ,Intel® Core™ i9 processor 14900T ,Intel® Core™ i9 processor 14900 ,Intel® Core™ i7 processor 14700T ,Intel® Core™ 7 processor 150U ,Intel® Core™ 5 processor 120U ,Intel® Core™ i5 processor 14600K ,Intel® Core™ i5 processor 14600 ,Intel® Processor 300 ,Intel® Core™ Ultra 7 processor 155H ,Intel® Core™ Ultra 5 processor 125H ,Intel® Core™ Ultra 9 processor 185H ,Intel® Core™ Ultra 5 processor 135H ,Intel® Core™ Ultra 7 processor 165H ,Intel® Processor 300T ,Intel® Core™ i9 processor 14900F ,Intel® Core™ i7 processor 14700F ,Intel® Xeon® Platinum 8571N Processor ,Intel® Xeon® Platinum 8568Y+ Processor ,Intel® Xeon® Gold 6530 Processor ,Intel® Xeon® Platinum 8580 Processor ,Intel® Xeon® Platinum 8593Q Processor ,Intel® Xeon® Platinum 8558 Processor ,Intel® Xeon® Platinum 8558P Processor ,Intel® Xeon® Platinum 8592+ Processor ,Intel® Xeon® Gold 6554S Processor ,Intel® Xeon® Platinum 8570 Processor ,Intel® Xeon® Platinum 8558U Processor ,Intel® Xeon® Platinum 8581V Processor ,Intel® Core™ Ultra 7 processor 155U ,Intel® Core™ Ultra 5 processor 135U ,Intel® Core™ Ultra 7 processor 165U ,Intel® Core™ Ultra 5 processor 125U ,Intel® Core™ Ultra 5 processor 134U ,Intel® Core™ Ultra 7 processor 164U ,Intel® Xeon® Platinum 8592V Processor ,Intel® Xeon® Gold 6534 Processor ,Intel® Xeon® Silver 4516Y+ Processor ,Intel® Xeon® Silver 4514Y Processor ,Intel® Xeon® Platinum 8562Y+ Processor ,Intel® Xeon® Gold 6542Y Processor ,Intel® Xeon® Gold 6526Y Processor ,Intel® Xeon® Gold 5520+ Processor ,Intel® Xeon® Gold 5515+ Processor ,Intel® Xeon® Gold 6538Y+ Processor ,Intel® Xeon® Gold 6548Y+ Processor ,Intel® Xeon® Gold 5512U Processor ,Intel® Xeon® Gold 6558Q Processor ,Intel® Xeon® Gold 6548N Processor ,Intel® Xeon® Gold 6538N Processor ,Intel® Xeon® Gold 6544Y Processor ,Intel® Xeon® Gold 5403N Processor ,Intel® Core™ 3 processor 100U 
# of Performance-cores,6,8,10,4,10,10,,,,,,,8,8,8,6,6,8,8,8,6,6,6,4,4,,,,,,,,8,4,4,2,6,6,6,8,6,8,6,4,8,6,8,6,8,8,8,2,2,6,6,2,6,4,6,4,6,2,8,8,,,,,,,,,,,,,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,2
Total Threads,12,16,20,8,20,20,16,40,44,20,40,32,32,24,28,16,20,16,16,16,12,12,12,8,4,64,64,56,16,24,24,8,32,8,8,8,16,20,20,28,20,28,20,8,32,16,28,16,32,32,28,12,12,20,20,4,22,18,22,18,22,4,32,28,104,96,64,120,128,96,96,128,72,112,96,120,14,14,14,14,14,14,128,16,48,32,64,48,32,56,16,64,64,56,64,64,64,32,24,8
Max Turbo Frequency,3.5 GHz,2.9 GHz,3.1 GHz,2.4 GHz,3.1 GHz,3.1 GHz,3.2 GHz,3.2 GHz,3.1 GHz,3.2 GHz,3.2 GHz,3.1 GHz,5.8 GHz,5.2 GHz,5.5 GHz,4.8 GHz,4.9 GHz,5.60 GHz,5.20 GHz,5.2 GHz,5.6 GHz,5.10 GHz,5.00 GHz,5.00 GHz,4.50 GHz,3.60 GHz,3.60 GHz,3.60 GHz,4.1 GHz,4.1 GHz,3.7 GHz,2.2 GHz,6 GHz,4.7 GHz,4.4 GHz,4.7 GHz,4.7 GHz,5.3 GHz,4.8 GHz,5.4 GHz,5.1 GHz,5.6 GHz,5 GHz,4.7 GHz,6 GHz,4.7 GHz,5.6 GHz,4.5 GHz,5.5 GHz,5.8 GHz,5.2 GHz,5.4 GHz,5 GHz,5.3 GHz,5.2 GHz,,4.8 GHz,4.5 GHz,5.1 GHz,4.6 GHz,5.0 GHz,,5.8 GHz,5.4 GHz,4 GHz,4 GHz,4 GHz,4 GHz,3.9 GHz,4 GHz,4 GHz,3.9 GHz,4 GHz,4 GHz,4 GHz,3.9 GHz,4.8 GHz,4.4 GHz,4.9 GHz,4.3 GHz,4.4 GHz,4.8 GHz,3.9 GHz,4.1 GHz,3.7 GHz,3.4 GHz,4.1 GHz,4.1 GHz,3.9 GHz,4 GHz,4.1 GHz,4 GHz,4.1 GHz,3.7 GHz,4.1 GHz,4.1 GHz,4.1 GHz,4.1 GHz,3.9 GHz,4.7 GHz
Processor Base Frequency,2.80 GHz,1.80 GHz,2.00 GHz,2.20 GHz,2.00 GHz,2.00 GHz,2.10 GHz,2.00 GHz,2.20 GHz,2.00 GHz,2.00 GHz,2.00 GHz,,,,,,3.20 GHz,2.8 GHz,2.6 GHz,3.5 GHz,3.30 GHz,2.90 GHz,3.40 GHz,2.60 GHz,2.00 GHz,2.00 GHz,2.00 GHz,2.60 GHz,2.40 GHz,2.00 GHz,2.10 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4 GHz,2.3 GHz,2.1 GHz,2 GHz,2.2 GHz,2.1 GHz,2.7 GHz,1.9 GHz,2.2 GHz,2.1 GHz,2 GHz,2 GHz,,,,,,,2 GHz,3.9 GHz,2.2 GHz,2 GHz,2.8 GHz,2.9 GHz,2.8 GHz,2.2 GHz,3.2 GHz,2.2 GHz,2.5 GHz,2.1 GHz,3.2 GHz,2.8 GHz,2.1 GHz,3.6 GHz,2 GHz,
Cache,10240,15360,15360,10240,15360,15360,15 MB,30 MB,30 MB,15 MB,30 MB,20 MB,36 MB Intel® Smart Cache,30 MB Intel® Smart Cache,33 MB Intel® Smart Cache,20 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB,24 MB,24 MB,18 MB,18 MB,18 MB,12 MB,12 MB,60 MB,60 MB,52.5 MB,22.5 MB,30 MB,30 MB,22.5 MB,36 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,10 MB Intel® Smart Cache,20 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,33 MB Intel® Smart Cache,24 MB Intel® Smart Cache,33 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,36 MB Intel® Smart Cache,20 MB Intel® Smart Cache,33 MB Intel® Smart Cache,20 MB Intel® Smart Cache,36 MB Intel® Smart Cache,36 MB Intel® Smart Cache,33 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,6 MB Intel® Smart Cache,24 MB Intel® Smart Cache,18 MB Intel® Smart Cache,24 MB Intel® Smart Cache,18 MB Intel® Smart Cache,24 MB Intel® Smart Cache,6 MB Intel® Smart Cache,36 MB Intel® Smart Cache,33 MB Intel® Smart Cache,300 MB,300 MB,160 MB,300 MB,320 MB,260 MB,260 MB,320 MB,180 MB,300 MB,260 MB,300 MB,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,320 MB,22.5 MB,45 MB,30 MB,60 MB,60 MB,37.5 MB,52.5 MB,22.5 MB,60 MB,60 MB,52.5 MB,60 MB,60 MB,60 MB,45 MB,22.5 MB,10 MB Intel® Smart Cache
Max # of UPI Links,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,2,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,3,4,4,4,3,4,4,4,0,0,,,,,,,3,3,2,2,3,3,3,3,3,3,3,0,3,3,3,3,0,
TDP,55 W,42 W,55 W,42 W,57 W,55 W,70 W,117 W,135 W,80 W,110 W,100 W,,,,,,95 W,80 W,65 W,95 W,80 W,65 W,55 W,55 W,205 W,205 W,195 W,125 W,150 W,115 W,125 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300 W,350 W,270 W,350 W,385 W,330 W,350 W,350 W,270 W,350 W,300 W,270 W,,,,,,,330 W,195 W,185 W,150 W,300 W,250 W,195 W,205 W,165 W,225 W,250 W,185 W,350 W,250 W,205 W,270 W,115 W,
Intel® Deep Learning Boost (Intel® DL Boost) on CPU,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,Yes,Yes,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,Yes,Yes
# of Efficiency-cores,,,,,,,,,,,,,16,8,12,4,8,,,,,,,,,,,,,,,,16,0,0,4,4,8,8,12,8,12,8,0,16,4,12,4,16,16,12,8,8,8,8,0,8,8,8,8,8,0,16,12,,,,,,,,,,,,,8,8,8,8,8,8,,,,,,,,,,,,,,,,,,4
Intel® Thermal Velocity Boost Frequency,,,,,,,,,,,,,5.8 GHz,5.2 GHz,5.5 GHz,,,,,,,,,,,,,,,,,,6 GHz,,,,,,,,,,,,6 GHz,,,,,5.8 GHz,,,,,,,,,,,,,5.8 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Turbo Boost Max Technology 3.0 Frequency ‡,,,,,,,,,,,,,5.7 GHz,5.1 GHz,5.4 GHz,,,5.60 GHz,5.20 GHz,5.2 GHz,5.6 GHz,,,,,,,,,,,,5.8 GHz,,,,,,,5.4 GHz,,5.6 GHz,,,5.8 GHz,,5.6 GHz,,5.5 GHz,5.6 GHz,5.2 GHz,,,,,,4.8 GHz,,5.1 GHz,,5.0 GHz,,5.6 GHz,5.4 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single P-core Turbo Frequency,,,,,,,,,,,,,5.8 GHz,5.2 GHz,5.5 GHz,4.8 GHz,4.9 GHz,,,,,,,,,,,,,,,,5.6 GHz,4.7 GHz,4.4 GHz,4.7 GHz,4.7 GHz,5.3 GHz,4.8 GHz,5.3 GHz,5.1 GHz,5.5 GHz,5 GHz,4.7 GHz,5.6 GHz,4.7 GHz,5.5 GHz,4.5 GHz,5.1 GHz,5.4 GHz,5 GHz,5.4 GHz,5 GHz,5.3 GHz,5.2 GHz,,4.8 GHz,4.5 GHz,5.1 GHz,4.6 GHz,5.0 GHz,,5.4 GHz,5.3 GHz,,,,,,,,,,,,,4.8 GHz,4.4 GHz,4.9 GHz,4.3 GHz,4.4 GHz,4.8 GHz,,,,,,,,,,,,,,,,,,4.7 GHz
