ARK | Intel® Product Specification Comparison
01/25/2024 11:23:51 AM
 ,Intel® Core™ i3-4150 Processor ,Intel® Core™ i3-4150T Processor ,Intel® Core™ i3-4160 Processor ,Intel® Core™ i3-4160T Processor ,Intel® Core™ i3-4170 Processor ,Intel® Core™ i3-4350 Processor ,Intel® Core™ i3-4350T Processor ,Intel® Core™ i3-4360 Processor ,Intel® Core™ i3-4360T Processor ,Intel® Core™ i3-4370 Processor ,Intel® Core™ i5-4210H Processor ,Intel® Core™ i7-4720HQ Processor ,Intel® Core™ i7-4722HQ Processor ,Intel® Pentium® Processor G3450T ,Intel® Core™ i7-4790K Processor ,Intel® Core™ i5-4690 Processor ,Intel® Core™ i5-4690K Processor ,Intel® Core™ i5-4690S Processor ,Intel® Core™ i5-4690T Processor ,Intel® Core™ i7-4785T Processor ,Intel® Core™ i5-4590 Processor ,Intel® Core™ i5-4590S Processor ,Intel® Core™ i5-4460 Processor ,Intel® Core™ i5-4460S Processor ,Intel Atom® Processor Z3785 ,Intel® Xeon® Processor E3-1281 v3 ,Intel® Xeon® Processor E3-1271 v3 ,Intel® Xeon® Processor E3-1241 v3 ,Intel® Xeon® Processor E3-1231 v3 ,Intel® Xeon® Processor E3-1240L v3 ,Intel® Xeon® Processor E3-1286 v3 ,Intel® Xeon® Processor E3-1286L v3 ,Intel® Xeon® Processor E3-1276 v3 ,Intel® Xeon® Processor E3-1246 v3 ,Intel® Xeon® Processor E3-1226 v3 ,Intel® Core™ i3-4340TE Processor ,Intel® Xeon® Processor E5-2683 v3 ,Intel® Xeon® Processor E5-2695 v3 ,Intel® Xeon® Processor E5-2697 v3 ,Intel® Xeon® Processor E5-2698 v3 ,Intel® Xeon® Processor E5-2699 v3 ,Intel Atom® Processor Z3560 ,Intel Atom® Processor Z3580 ,Intel® Core™ i3-4370T Processor ,Intel® Core™ i3-4170T Processor ,Intel® Xeon® Processor E5-2628L v3 ,Intel® Xeon® Processor E5-2650 v3 ,Intel® Xeon® Processor E5-2660 v3 ,Intel® Xeon® Processor E5-2670 v3 ,Intel® Xeon® Processor E5-2690 v3 ,Intel® Xeon® Processor E5-2609 v3 ,Intel® Xeon® Processor E5-2643 v3 ,Intel® Xeon® Processor E5-2648L v3 ,Intel® Xeon® Processor E5-2650L v3 ,Intel® Xeon® Processor E5-2658 v3 ,Intel® Xeon® Processor E5-2680 v3 ,Intel® Xeon® Processor E5-2687W v3 ,Intel® Celeron® Processor N2808 ,Intel® Celeron® Processor N2840 ,Intel® Celeron® Processor N2940 ,Intel® Pentium® Processor N3540 ,Intel Atom® Processor Z3736F ,Intel Atom® Processor Z3736G ,Intel® Pentium® Processor G3258 ,Intel® Xeon® Processor E5-1620 v3 ,Intel® Xeon® Processor E5-1630 v3 ,Intel® Xeon® Processor E5-1650 v3 ,Intel® Xeon® Processor E5-1660 v3 ,Intel® Xeon® Processor E5-1680 v3 ,Intel® Core™ i7-5960X Processor Extreme Edition ,Intel® Core™ i7-5930K Processor ,Intel® Core™ i7-5820K Processor ,Intel® Xeon® Processor E5-2603 v3 ,Intel® Xeon® Processor E5-2608L v3 ,Intel® Xeon® Processor E5-2618L v3 ,Intel® Xeon® Processor E5-2620 v3 ,Intel® Xeon® Processor E5-2623 v3 ,Intel® Xeon® Processor E5-2630 v3 ,Intel® Xeon® Processor E5-2630L v3 ,Intel® Xeon® Processor E5-2637 v3 ,Intel® Xeon® Processor E5-2640 v3 ,Intel® Xeon® Processor E5-2667 v3 ,Intel® Pentium® Processor G3460 ,Intel® Pentium® Processor G3460T ,Intel® Core™ i7-4980HQ Processor ,Intel® Core™ i7-4870HQ Processor ,Intel® Core™ i7-4770HQ Processor ,Intel® Core™ i7-4578U Processor ,Intel® Core™ i5-4308U Processor ,Intel® Core™ i5-4278U Processor ,Intel® Pentium® Processor G3250 ,Intel® Pentium® Processor G3250T ,Intel® Core™ M-5Y10 Processor ,Intel® Core™ M-5Y10a Processor ,Intel® Core™ M-5Y70 Processor ,Intel Atom® Processor Z3530 ,Intel Atom® Processor E3805 ,Intel® Xeon® Processor E5-1428L v3 ,Intel® Xeon® Processor E5-2408L v3 ,Intel® Xeon® Processor E5-2418L v3 ,Intel® Xeon® Processor E5-2428L v3 ,Intel® Xeon® Processor E5-2438L v3 ,Intel Atom® Processor Z3570 ,Intel® Core™ M-5Y31 Processor ,Intel® Core™ M-5Y51 Processor ,Intel® Core™ M-5Y71 Processor ,Intel® Xeon® Processor E7-4809 v3 ,Intel® Xeon® Processor E7-4820 v3 ,Intel® Xeon® Processor E7-4830 v3 ,Intel® Xeon® Processor E7-4850 v3 ,Intel® Xeon® Processor E7-8860 v3 ,Intel® Xeon® Processor E7-8867 v3 ,Intel® Xeon® Processor E7-8870 v3 ,Intel® Xeon® Processor E7-8880 v3 ,Intel® Xeon® Processor E7-8880L v3 ,Intel® Xeon® Processor E7-8890 v3 ,Intel® Xeon® Processor E7-8891 v3 ,Intel® Xeon® Processor E7-8893 v3 ,Intel® Core™ i3-5005U Processor ,Intel® Core™ i3-5010U Processor ,Intel® Core™ i3-5015U Processor ,Intel® Core™ i3-5020U Processor ,Intel® Celeron® Processor 3205U ,Intel® Celeron® Processor 3215U ,Intel® Celeron® Processor 3755U ,Intel® Celeron® Processor 3765U ,Intel® Pentium® Processor 3805U ,Intel® Core™ i3-5157U Processor ,Intel® Core™ i5-5250U Processor ,Intel® Core™ i5-5257U Processor ,Intel® Core™ i5-5287U Processor ,Intel® Core™ i5-5350U Processor ,Intel® Core™ i7-5550U Processor ,Intel® Core™ i7-5557U Processor ,Intel® Core™ i7-5650U Processor ,Intel® Core™ i5-5200U Processor ,Intel® Core™ i5-5300U Processor ,Intel® Core™ i7-5500U Processor ,Intel® Core™ i7-5600U Processor ,Intel® Core™ M-5Y10c Processor ,Intel Atom® x5-Z8500 Processor ,Intel Atom® x7-Z8700 Processor ,Intel® Xeon® Processor E5-4610 v3 ,Intel® Xeon® Processor E5-4620 v3 ,Intel® Xeon® Processor E5-4627 v3 ,Intel® Xeon® Processor E5-4640 v3 ,Intel® Xeon® Processor E5-4648 v3 ,Intel® Xeon® Processor E5-4650 v3 ,Intel® Xeon® Processor E5-4655 v3 ,Intel® Xeon® Processor E5-4660 v3 ,Intel® Xeon® Processor E5-4667 v3 ,Intel® Xeon® Processor E5-4669 v3 ,Intel® Xeon® Processor E5-2658A v3 ,Intel® Pentium® Processor 3825U ,Intel® Quark™ Microcontroller D1000 ,Intel® Xeon® Processor D-1520 ,Intel® Xeon® Processor D-1540 ,Intel® Celeron® Processor N3050 ,Intel® Celeron® Processor N3150 ,Intel® Celeron® Processor N3000 ,Intel® Pentium® Processor N3700 ,Intel® Pentium® Processor G3260 ,Intel® Pentium® Processor G3260T ,Intel® Pentium® Processor G3470 ,Intel Atom® x5-Z8300 Processor ,Intel Atom® x3-C3445 Processor ,Intel Atom® x3-C3230RK Processor ,Intel Atom® x3-C3405 Processor ,Intel Atom® x3-C3200RK Processor ,Intel® Core™ i5-5350H Processor ,Intel® Core™ i5-5575R Processor ,Intel® Core™ i5-5675R Processor ,Intel® Core™ i7-5700HQ Processor ,Intel® Core™ i7-5750HQ Processor ,Intel® Core™ i7-5775R Processor ,Intel® Core™ i7-5850HQ Processor ,Intel® Core™ i7-5950HQ Processor ,Intel® Core™ i7-5775C Processor ,Intel® Xeon® Processor E3-1265L v4 ,Intel® Xeon® Processor E3-1285L v4 ,Intel® Xeon® Processor E3-1285 v4 ,Intel® Core™ i7-5700EQ Processor ,Intel® Core™ i7-5850EQ Processor ,Intel® Core™ i5-5675C Processor ,Intel® Xeon® Processor E3-1258L v4 ,Intel® Xeon® Processor E3-1278L v4 ,Intel® Core™ i5-6600K Processor ,Intel® Core™ i7-6700K Processor ,Intel® Core™ i7-6700T Processor ,Intel® Pentium® Processor G4400T ,Intel® Pentium® Processor G4500T ,Intel® Core™ i3-6300T Processor ,Intel® Core™ i3-6100 Processor ,Intel® Pentium® Processor G4500 ,Intel® Core™ i3-6300 Processor ,Intel® Pentium® Processor G4520 ,Intel® Core™ i3-6320 Processor ,Intel® Core™ i3-6100T Processor ,Intel® Core™ i7-6567U Processor ,Intel Atom® Processor Z3590 
Total Threads,4,4,4,4,4,4,4,4,4,4,4,8,8,2,8,4,4,4,4,8,4,4,4,4,,8,8,8,8,8,8,8,8,8,4,4,28,28,28,32,36,,,4,4,20,20,20,24,24,6,12,24,24,24,24,20,2,2,4,4,,,2,8,8,12,16,16,16,12,12,6,12,16,12,8,16,16,8,16,16,2,2,8,8,8,4,4,4,2,2,4,4,4,,2,16,8,12,16,20,,4,4,4,16,20,24,28,32,32,36,36,36,36,20,8,4,4,4,4,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,,,20,20,10,24,24,24,12,28,32,36,24,4,,8,16,2,4,2,4,2,2,2,,,,,,4,,,8,8,8,8,8,8,8,8,8,8,8,,8,8,4,8,8,2,2,4,4,2,4,2,4,4,4,
Processor Base Frequency,3.50 GHz,3.00 GHz,3.60 GHz,3.10 GHz,3.70 GHz,3.60 GHz,3.10 GHz,3.70 GHz,3.20 GHz,3.80 GHz,2.90 GHz,2.60 GHz,2.40 GHz,2.90 GHz,4.00 GHz,3.50 GHz,3.50 GHz,3.20 GHz,2.50 GHz,2.20 GHz,3.30 GHz,3.00 GHz,3.20 GHz,2.90 GHz,1.49 GHz,3.70 GHz,3.60 GHz,3.50 GHz,3.40 GHz,2.00 GHz,3.70 GHz,3.20 GHz,3.60 GHz,3.50 GHz,3.30 GHz,2.60 GHz,2.00 GHz,2.30 GHz,2.60 GHz,2.30 GHz,2.30 GHz,,,3.30 GHz,3.20 GHz,2.00 GHz,2.30 GHz,2.60 GHz,2.30 GHz,2.60 GHz,1.90 GHz,3.40 GHz,1.80 GHz,1.80 GHz,2.20 GHz,2.50 GHz,3.10 GHz,1.58 GHz,2.16 GHz,1.83 GHz,2.16 GHz,1.33 GHz,1.33 GHz,3.20 GHz,3.50 GHz,3.70 GHz,3.50 GHz,3.00 GHz,3.20 GHz,3.00 GHz,3.50 GHz,3.30 GHz,1.60 GHz,2.00 GHz,2.30 GHz,2.40 GHz,3.00 GHz,2.40 GHz,1.80 GHz,3.50 GHz,2.60 GHz,3.20 GHz,3.50 GHz,3.00 GHz,2.80 GHz,2.50 GHz,2.20 GHz,3.00 GHz,2.80 GHz,2.60 GHz,3.20 GHz,2.80 GHz,800 MHz,800 MHz,1.10 GHz,,1.33 GHz,2.00 GHz,1.80 GHz,2.00 GHz,1.80 GHz,1.80 GHz,,900 MHz,1.10 GHz,1.20 GHz,2.00 GHz,1.90 GHz,2.10 GHz,2.20 GHz,2.20 GHz,2.50 GHz,2.10 GHz,2.30 GHz,2.00 GHz,2.50 GHz,2.80 GHz,3.20 GHz,2.00 GHz,2.10 GHz,2.10 GHz,2.20 GHz,1.50 GHz,1.70 GHz,1.70 GHz,1.90 GHz,1.90 GHz,2.50 GHz,1.60 GHz,2.70 GHz,2.90 GHz,1.80 GHz,2.00 GHz,3.10 GHz,2.20 GHz,2.20 GHz,2.30 GHz,2.40 GHz,2.60 GHz,800 MHz,1.44 GHz,1.60 GHz,1.70 GHz,2.00 GHz,2.60 GHz,1.90 GHz,1.70 GHz,2.10 GHz,2.90 GHz,2.10 GHz,2.00 GHz,2.10 GHz,2.20 GHz,1.90 GHz,33 MHz,2.20 GHz,2.00 GHz,1.60 GHz,1.60 GHz,1.04 GHz,1.60 GHz,3.30 GHz,2.90 GHz,3.60 GHz,1.44 GHz,1.20 GHz,,1.20 GHz,,3.10 GHz,2.80 GHz,3.10 GHz,2.70 GHz,2.50 GHz,3.30 GHz,2.70 GHz,2.90 GHz,3.30 GHz,2.30 GHz,3.40 GHz,3.50 GHz,2.60 GHz,2.70 GHz,3.10 GHz,1.80 GHz,2.00 GHz,3.50 GHz,4.00 GHz,2.80 GHz,2.90 GHz,3.00 GHz,3.30 GHz,3.70 GHz,3.50 GHz,3.80 GHz,3.60 GHz,3.90 GHz,3.20 GHz,3.30 GHz,
Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,3 MB Intel® Smart Cache,6 MB,6 MB,3 MB Intel® Smart Cache,8 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,8 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,2 MB L2 Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,4 MB Intel® Smart Cache,35 MB Intel® Smart Cache,35 MB Intel® Smart Cache,35 MB Intel® Smart Cache,40 MB Intel® Smart Cache,45 MB Intel® Smart Cache,2 MB,2 MB,4 MB,3 MB,25 MB Intel® Smart Cache,25 MB Intel® Smart Cache,25 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,15 MB Intel® Smart Cache,20 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,25 MB Intel® Smart Cache,1 MB L2 Cache,1 MB L2 Cache,2 MB L2 Cache,2 MB L2 Cache,2 MB L2 Cache,2 MB L2 Cache,3 MB,10 MB Intel® Smart Cache,10 MB Intel® Smart Cache,15 MB Intel® Smart Cache,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,15 MB Intel® Smart Cache,15 MB Intel® Smart Cache,15 MB Intel® Smart Cache,15 MB Intel® Smart Cache,20 MB Intel® Smart Cache,15 MB Intel® Smart Cache,10 MB Intel® Smart Cache,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,15 MB Intel® Smart Cache,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB,6 MB,6 MB,6 MB,4 MB,3 MB,3 MB,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,4 MB,4 MB,4 MB,2 MB,1 MB L2 Cache,20 MB,10 MB,15 MB,20 MB,25 MB,2 MB,4 MB,4 MB,4 MB,20 MB Last Level Cache,25 MB Last Level Cache,30 MB Last Level Cache,35 MB Last Level Cache,40 MB Last Level Cache,45 MB,45 MB Last Level Cache,45 MB Last Level Cache,45 MB Last Level Cache,45 MB Last Level Cache,45 MB Last Level Cache,45 MB Last Level Cache,3 MB,3 MB,3 MB,3 MB,2 MB,2 MB,2 MB,2 MB,2 MB,3 MB,3 MB,3 MB,3 MB,3 MB,4 MB Intel® Smart Cache,4 MB,4 MB,3 MB,3 MB,4 MB,4 MB,4 MB,2 MB,2 MB,25 MB,25 MB,25 MB,30 MB,30 MB,30 MB,30 MB,35 MB,40 MB,45 MB,30 MB Intel® Smart Cache,2 MB,0 KB,6 MB,12 MB,2 MB L2 Cache,2 MB L2 Cache,2 MB L2 Cache,2 MB L2 Cache,3 MB,3 MB,3 MB,2 MB,1 MB,1 MB,1 MB,1 MB,4 MB,4 MB,4 MB,6 MB,6 MB,6 MB,6 MB,6 MB,6 MB,6 MB,6 MB,6 MB,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,4 MB,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,4 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,4 MB Intel® Smart Cache,3 MB Intel® Smart Cache,4 MB Intel® Smart Cache,3 MB Intel® Smart Cache,4 MB Intel® Smart Cache,2 MB
Bus Speed,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,9.6 GT/s,9.6 GT/s,9.6 GT/s,9.6 GT/s,9.6 GT/s,,,5 GT/s,5 GT/s,8 GT/s,9.6 GT/s,9.6 GT/s,9.6 GT/s,9.6 GT/s,6.4 GT/s,9.6 GT/s,9.6 GT/s,9.6 GT/s,9.6 GT/s,9.6 GT/s,9.6 GT/s,,,,,,,5 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s,6.4 GT/s,6.4 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,9.6 GT/s,8 GT/s,9.6 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,,,5 GT/s,,,0 GT/s,6.4 GT/s,6.4 GT/s,8 GT/s,8 GT/s,,,,,6.4 GT/s,6.4 GT/s,8 GT/s,8 GT/s,9.6 GT/s,9.6 GT/s,9.6 GT/s,9.6 GT/s,9.6 GT/s,9.6 GT/s,9.6 GT/s,9.6 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,,,,6.4 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,9.6 GT/s,9.6 GT/s,9.6 GT/s,9.6 GT/s,9.6 GT/s,9.6 GT/s,5 GT/s,,,,,,,,5 GT/s,5 GT/s,5 GT/s,,,,,,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,4 GT/s,
TDP,54 W,35 W,54 W,35 W,54 W,54 W,35 W,54 W,35 W,54 W,47 W,47 W,37 W,35 W,88 W,84 W,88 W,65 W,45 W,35 W,84 W,65 W,84 W,65 W,,82 W,80 W,80 W,80 W,25 W,84 W,65 W,84 W,84 W,84 W,35 W,120 W,120 W,145 W,135 W,145 W,,,35 W,35 W,75 W,105 W,105 W,120 W,135 W,85 W,135 W,75 W,65 W,105 W,120 W,160 W,4.5 W,7.5 W,7.5 W,7.5 W,,,53 W,140 W,140 W,140 W,140 W,140 W,140 W,140 W,140 W,85 W,52 W,75 W,85 W,105 W,85 W,55 W,135 W,90 W,135 W,53 W,35 W,47 W,47 W,47 W,28 W,28 W,28 W,53 W,35 W,4.5 W,4.5 W,4.5 W,,3 W,65 W,45 W,50 W,55 W,70 W,,4.5 W,4.5 W,4.5 W,115 W,115 W,115 W,115 W,140 W,165 W,140 W,150 W,115 W,165 W,165 W,140 W,15 W,15 W,15 W,15 W,15 W,15 W,15 W,15 W,15 W,28 W,15 W,28 W,28 W,15 W,15 W,28 W,15 W,15 W,15 W,15 W,15 W,4.5 W,,,105 W,105 W,135 W,105 W,105 W,105 W,135 W,120 W,135 W,135 W,105 W,15 W,0.025 W,45 W,45 W,6 W,6 W,4 W,6 W,53 W,35 W,53 W,,,,,,47 W,65 W,65 W,47 W,47 W,65 W,47 W,47 W,65 W,35 W,65 W,95 W,47 W,47 W,65 W,47 W,47 W,91 W,91 W,35 W,35 W,35 W,35 W,51 W,51 W,51 W,51 W,51 W,35 W,28 W,
Max Turbo Frequency,,,,,,,,,,,3.50 GHz,3.60 GHz,3.40 GHz,,4.40 GHz,3.90 GHz,3.90 GHz,3.90 GHz,3.50 GHz,3.20 GHz,3.70 GHz,3.70 GHz,3.40 GHz,3.40 GHz,,4.10 GHz,4.00 GHz,3.90 GHz,3.80 GHz,3.00 GHz,4.10 GHz,4.00 GHz,4.00 GHz,3.90 GHz,3.70 GHz,,3.00 GHz,3.30 GHz,3.60 GHz,3.60 GHz,3.60 GHz,,,,,2.50 GHz,3.00 GHz,3.30 GHz,3.10 GHz,3.50 GHz,,3.70 GHz,2.50 GHz,2.50 GHz,2.90 GHz,3.30 GHz,3.50 GHz,,,,,,,,3.60 GHz,3.80 GHz,3.80 GHz,3.50 GHz,3.80 GHz,3.50 GHz,3.70 GHz,3.60 GHz,,,3.40 GHz,3.20 GHz,3.50 GHz,3.20 GHz,2.90 GHz,3.70 GHz,3.40 GHz,3.60 GHz,,,4.00 GHz,3.70 GHz,3.40 GHz,3.50 GHz,3.30 GHz,3.10 GHz,,,2.00 GHz,2.00 GHz,2.60 GHz,,,,,,,,,2.40 GHz,2.60 GHz,2.90 GHz,,,2.70 GHz,2.80 GHz,3.20 GHz,3.30 GHz,2.90 GHz,3.10 GHz,2.80 GHz,3.30 GHz,3.50 GHz,3.50 GHz,,,,,,,,,,,2.70 GHz,3.10 GHz,3.30 GHz,2.90 GHz,3.00 GHz,3.40 GHz,3.10 GHz,2.70 GHz,2.90 GHz,3.00 GHz,3.20 GHz,2.00 GHz,,,1.70 GHz,2.60 GHz,3.20 GHz,2.60 GHz,2.20 GHz,2.80 GHz,3.20 GHz,2.90 GHz,2.90 GHz,2.90 GHz,2.90 GHz,,,2.60 GHz,2.60 GHz,,,,,,,,,,,,,3.50 GHz,3.30 GHz,3.60 GHz,3.50 GHz,3.40 GHz,3.80 GHz,3.60 GHz,3.80 GHz,3.70 GHz,3.30 GHz,3.80 GHz,3.80 GHz,3.40 GHz,3.40 GHz,3.60 GHz,3.20 GHz,3.30 GHz,3.90 GHz,4.20 GHz,3.60 GHz,,,,,,,,,,3.60 GHz,
Intel® Turbo Boost Technology 2.0 Frequency‡,,,,,,,,,,,3.50 GHz,,,,4.40 GHz,3.90 GHz,3.90 GHz,3.90 GHz,3.50 GHz,3.20 GHz,3.70 GHz,3.70 GHz,3.40 GHz,3.40 GHz,,4.10 GHz,4.00 GHz,3.90 GHz,3.80 GHz,3.00 GHz,4.10 GHz,4.00 GHz,4.00 GHz,3.90 GHz,3.70 GHz,,3.00 GHz,3.30 GHz,3.60 GHz,3.60 GHz,3.60 GHz,,,,,2.50 GHz,3.00 GHz,3.30 GHz,3.10 GHz,3.50 GHz,,3.70 GHz,2.50 GHz,2.50 GHz,2.90 GHz,3.30 GHz,3.50 GHz,,,,,,,,3.60 GHz,3.80 GHz,3.80 GHz,3.50 GHz,3.80 GHz,3.50 GHz,3.70 GHz,3.60 GHz,,,3.40 GHz,3.20 GHz,3.50 GHz,3.20 GHz,2.90 GHz,3.70 GHz,3.40 GHz,3.60 GHz,,,4.00 GHz,3.70 GHz,3.40 GHz,3.50 GHz,3.30 GHz,3.10 GHz,,,2.00 GHz,2.00 GHz,2.60 GHz,,,,,,,,,2.40 GHz,2.60 GHz,2.90 GHz,,,2.70 GHz,2.80 GHz,3.20 GHz,3.30 GHz,2.90 GHz,3.10 GHz,2.80 GHz,3.30 GHz,3.50 GHz,3.50 GHz,,,,,,,,,,,2.70 GHz,3.10 GHz,3.30 GHz,2.90 GHz,3.00 GHz,3.40 GHz,3.10 GHz,2.70 GHz,2.90 GHz,3.00 GHz,3.20 GHz,2.00 GHz,,,,2.60 GHz,3.20 GHz,2.60 GHz,2.20 GHz,2.80 GHz,3.20 GHz,2.90 GHz,2.90 GHz,2.90 GHz,2.90 GHz,,,2.60 GHz,2.60 GHz,,,,,,,,,,,,,3.50 GHz,3.30 GHz,3.60 GHz,3.50 GHz,3.40 GHz,3.80 GHz,3.60 GHz,3.80 GHz,3.70 GHz,3.30 GHz,3.80 GHz,3.80 GHz,3.40 GHz,3.40 GHz,3.60 GHz,3.20 GHz,3.30 GHz,3.90 GHz,4.20 GHz,3.60 GHz,,,,,,,,,,3.60 GHz,
Burst Frequency,,,,,,,,,,,,,,,,,,,,,,,,,2.41 GHz,,,,,,,,,,,,,,,,,1.83 GHz,2.33 GHz,,,,,,,,,,,,,,,2.25 GHz,2.58 GHz,2.25 GHz,2.66 GHz,2.16 GHz,2.16 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33 GHz,,,,,,,2.00 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.24 GHz,2.40 GHz,,,,,,,,,,,,,,,,2.16 GHz,2.08 GHz,2.08 GHz,2.40 GHz,,,,1.84 GHz,1.40 GHz,1.10 GHz,1.40 GHz,1.10 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50 GHz
Scenario Design Power (SDP),,,,,,,,,,,,,,,,,,,,,,,,,2.2 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 W,4.5 W,4.5 W,4.5 W,2.2 W,2.2 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5 W,3.5 W,3.5 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5 W,2 W,2 W,,,,,,,,,,,,,,,,4 W,4 W,3 W,4 W,,,,2 W,2 W,2 W,2 W,2 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of QPI Links,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,0,0,0,0,0,,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,0,1,1,1,1,,,,,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,,,,,,,,,,,,
Configurable TDP-up Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.10 GHz,1.30 GHz,1.40 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00 GHz,,,,,,,,,,,,,,,32 MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Configurable TDP-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 W,6 W,6 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 W,,,,,,,,,,,,,,,0.025 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
