ARK | Intel® Product Specification Comparison
01/25/2024 11:24:01 AM
 ,Intel Atom® Processor Z3480 ,Intel Atom® Processor Z3460 ,Intel® Core™ i5-4260U Processor ,Intel® Core™ i5-4360U Processor ,Intel® Xeon® Processor E7-2850 v2 ,Intel® Xeon® Processor E7-2870 v2 ,Intel® Xeon® Processor E7-2880 v2 ,Intel® Xeon® Processor E7-2890 v2 ,Intel® Xeon® Processor E7-4809 v2 ,Intel® Xeon® Processor E7-4820 v2 ,Intel® Xeon® Processor E7-4830 v2 ,Intel® Xeon® Processor E7-4850 v2 ,Intel® Xeon® Processor E7-4860 v2 ,Intel® Xeon® Processor E7-4870 v2 ,Intel® Xeon® Processor E7-4890 v2 ,Intel® Xeon® Processor E7-8850 v2 ,Intel® Xeon® Processor E7-8857 v2 ,Intel® Xeon® Processor E7-8870 v2 ,Intel® Xeon® Processor E7-8880L v2 ,Intel® Xeon® Processor E7-8880 v2 ,Intel® Xeon® Processor E7-8890 v2 ,Intel® Xeon® Processor E7-8891 v2 ,Intel® Xeon® Processor E7-8893 v2 ,Intel® Xeon® Processor E5-2440 v2 ,Intel® Xeon® Processor E5-2450 v2 ,Intel® Xeon® Processor E5-2450L v2 ,Intel® Xeon® Processor E5-2470 v2 ,Intel® Xeon® Processor E5-2640 v2 ,Intel® Xeon® Processor E5-2643 v2 ,Intel® Xeon® Processor E5-2650 v2 ,Intel® Xeon® Processor E5-2650L v2 ,Intel® Xeon® Processor E5-2660 v2 ,Intel® Xeon® Processor E5-2667 v2 ,Intel® Xeon® Processor E5-2670 v2 ,Intel® Xeon® Processor E5-2680 v2 ,Intel® Xeon® Processor E5-2690 v2 ,Intel® Xeon® Processor E5-2695 v2 ,Intel® Xeon® Processor E5-2697 v2 ,Intel® Xeon® Processor E5-4610 v2 ,Intel® Xeon® Processor E5-4620 v2 ,Intel® Xeon® Processor E5-4627 v2 ,Intel® Xeon® Processor E5-4640 v2 ,Intel® Xeon® Processor E5-4650 v2 ,Intel® Xeon® Processor E5-4657L v2 ,Intel® Core™ i5-4402EC Processor ,Intel® Core™ i7-4700EC Processor ,Intel® Core™ i7-4702EC Processor ,Intel® Xeon® Processor E7-4880 v2 ,Intel® Xeon® Processor E5-1428L v2 ,Intel® Xeon® Processor E5-1620 v2 ,Intel® Xeon® Processor E5-1650 v2 ,Intel® Xeon® Processor E5-1660 v2 ,Intel® Xeon® Processor E5-2407 v2 ,Intel® Xeon® Processor E5-2418L v2 ,Intel® Xeon® Processor E5-2420 v2 ,Intel® Xeon® Processor E5-2430 v2 ,Intel® Xeon® Processor E5-2430L v2 ,Intel® Xeon® Processor E5-2609 v2 ,Intel® Xeon® Processor E5-2618L v2 ,Intel® Xeon® Processor E5-2620 v2 ,Intel® Xeon® Processor E5-2630 v2 ,Intel® Xeon® Processor E5-2630L v2 ,Intel® Xeon® Processor E5-2637 v2 ,Intel® Xeon® Processor E5-4603 v2 ,Intel® Xeon® Processor E5-4607 v2 ,Intel® Xeon® Processor E5-2448L v2 ,Intel® Xeon® Processor E5-2428L v2 ,Intel® Xeon® Processor E5-2403 v2 ,Intel® Core™ i7-4860HQ Processor ,Intel® Core™ i7-4760HQ Processor ,Intel® Xeon® Processor E5-2603 v2 ,Intel® Xeon® Processor E5-2628L v2 ,Intel® Xeon® Processor E5-2648L v2 ,Intel® Xeon® Processor E5-2658 v2 ,Intel® Xeon® Processor E5-2687W v2 ,Intel® Celeron® Processor 2000E ,Intel® Celeron® Processor 2002E ,Intel® Xeon® Processor E3-1275L v3 ,Intel® Xeon® Processor E5-4624L v2 ,Intel® Pentium® Processor J2850 ,Intel® Celeron® Processor J1850 ,Intel® Celeron® Processor J1750 ,Intel® Pentium® Processor N3510 ,Intel® Celeron® Processor N2910 ,Intel® Celeron® Processor N2810 ,Intel® Celeron® Processor N2805 ,Intel Atom® Processor Z3740 ,Intel Atom® Processor Z3770 ,Intel® Core™ i3-4110M Processor ,Intel® Core™ i3-4330T Processor ,Intel® Core™ i3-4340 Processor ,Intel® Core™ i7-4960X Processor Extreme Edition ,Intel® Core™ i7-4930K Processor ,Intel® Core™ i7-4820K Processor ,Intel® Pentium® Processor 1405 v2 ,Intel Atom® Processor C2338 ,Intel Atom® Processor C2350 ,Intel Atom® Processor C2358 ,Intel Atom® Processor C2518 ,Intel Atom® Processor C2530 ,Intel Atom® Processor C2538 ,Intel Atom® Processor C2550 ,Intel Atom® Processor C2558 ,Intel Atom® Processor C2718 ,Intel Atom® Processor C2730 ,Intel Atom® Processor C2738 ,Intel Atom® Processor C2750 ,Intel Atom® Processor C2758 ,Intel® Pentium® Processor G3320TE ,Intel® Xeon® Processor E3-1105C v2 ,Intel® Xeon® Processor E3-1125C v2 ,Intel® Pentium® Processor B925C ,Intel® Core™ i3-3115C Processor ,Intel Atom® Processor Z3770D ,Intel Atom® Processor Z3740D ,Intel Atom® Processor E3825 ,Intel Atom® Processor E3845 ,Intel Atom® Processor E3815 ,Intel Atom® Processor E3826 ,Intel Atom® Processor E3827 ,Intel® Celeron® Processor J1800 ,Intel® Celeron® Processor J1900 ,Intel® Pentium® Processor J2900 ,Intel® Core™ i5-4460T Processor ,Intel® Core™ i5-4590T Processor ,Intel® Core™ i7-4710HQ Processor ,Intel® Core™ i7-4710MQ Processor ,Intel® Core™ i7-4712HQ Processor ,Intel® Core™ i7-4712MQ Processor ,Intel® Core™ i7-4810MQ Processor ,Intel® Core™ i7-4910MQ Processor ,Intel® Core™ i7-4940MX Processor Extreme Edition ,Intel® Celeron® Processor 2957U ,Intel® Celeron® Processor 2961Y ,Intel® Celeron® Processor 2981U ,Intel® Pentium® Processor 3558U ,Intel® Pentium® Processor 3561Y ,Intel® Celeron® Processor G1830 ,Intel® Celeron® Processor G1820 ,Intel® Celeron® Processor G1820T ,Intel® Celeron® Processor G1820TE ,Intel® Pentium® Processor N3520 ,Intel® Celeron® Processor N2806 ,Intel® Celeron® Processor N2815 ,Intel® Celeron® Processor N2820 ,Intel® Celeron® Processor N2920 ,Intel® Quark™ SoC X1000 ,Intel® Core™ i3-4110E Processor ,Intel® Core™ i3-4112E Processor ,Intel® Core™ i5-4410E Processor ,Intel® Core™ i5-4422E Processor ,Intel Atom® Processor Z3795 ,Intel Atom® Processor Z3775 ,Intel Atom® Processor Z3775D ,Intel Atom® Processor Z3745 ,Intel Atom® Processor Z3745D ,Intel Atom® Processor Z3735D ,Intel Atom® Processor Z3735E ,Intel Atom® Processor Z3735F ,Intel Atom® Processor Z3735G ,Intel® Xeon Phi™ Coprocessor 7120D ,Intel® Core™ i5-4310U Processor ,Intel® Core™ i5-4340M Processor ,Intel® Core™ i7-4610M Processor ,Intel® Core™ i5-4310M Processor ,Intel® Xeon Phi™ Coprocessor 7120A ,Intel® Pentium® Processor G3450 ,Intel® Pentium® Processor G3440 ,Intel® Pentium® Processor G3440T ,Intel® Pentium® Processor G3240 ,Intel® Pentium® Processor G3240T ,Intel® Celeron® Processor G1850 ,Intel® Celeron® Processor G1840 ,Intel® Celeron® Processor G1840T ,Intel® Core™ i7-4790 Processor ,Intel® Core™ i7-4790S Processor ,Intel® Core™ i7-4790T Processor ,Intel® Quark™ SoC X1001 ,Intel® Quark™ SoC X1010 ,Intel® Quark™ SoC X1011 ,Intel® Quark™ SoC X1020D ,Intel® Quark™ SoC X1021 ,Intel® Core™ i5-4210M Processor ,Intel® Pentium® Processor 3560M ,Intel® Celeron® Processor 2970M ,Intel® Core™ i7-4510U Processor ,Intel® Core™ i5-4210U Processor ,Intel® Core™ i3-4120U Processor ,Intel® Core™ i3-4030U Processor ,Intel® Core™ i3-4025U Processor ,Intel® Core™ i5-4220Y Processor ,Intel® Core™ i3-4030Y Processor ,Intel® Celeron® Processor N2830 ,Intel® Celeron® Processor N2807 ,Intel® Celeron® Processor N2930 ,Intel® Pentium® Processor N3530 ,Intel Atom® Processor C2508 ,Intel Atom® Processor C2308 ,Intel® Quark™ SoC X1021D ,Intel® Quark™ SoC X1020 
Burst Frequency,2.13 GHz,1.60 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86 GHz,2.39 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,2.41 GHz,1.83 GHz,,,,,,2.58 GHz,2.42 GHz,2.66 GHz,,,,,,,,,,,,,,,,,,,2.42 GHz,2.00 GHz,2.13 GHz,2.39 GHz,2.00 GHz,,,,,,2.39 GHz,2.39 GHz,2.41 GHz,1.86 GHz,1.83 GHz,1.83 GHz,1.83 GHz,1.83 GHz,1.83 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.41 GHz,2.16 GHz,2.16 GHz,2.58 GHz,,,,
Cache,1 MB Intel® Smart Cache,1 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,24 MB,30 MB,37.5 MB,37.5 MB,12 MB,16 MB,20 MB,24 MB,30 MB,30 MB,37.5 MB,24 MB,30 MB,30 MB,37.5 MB,37.5 MB,37.5 MB,37.5 MB,37.5 MB,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,25 MB Intel® Smart Cache,25 MB Intel® Smart Cache,20 MB Intel® Smart Cache,25 MB Intel® Smart Cache,20 MB Intel® Smart Cache,25 MB Intel® Smart Cache,25 MB Intel® Smart Cache,25 MB Intel® Smart Cache,25 MB Intel® Smart Cache,25 MB Intel® Smart Cache,25 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,16 MB Intel® Smart Cache,20 MB Intel® Smart Cache,16 MB Intel® Smart Cache,20 MB Intel® Smart Cache,25 MB Intel® Smart Cache,30 MB Intel® Smart Cache,4 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,37.5 MB,15 MB Intel® Smart Cache,10 MB Intel® Smart Cache,12 MB Intel® Smart Cache,15 MB Intel® Smart Cache,10 MB Intel® Smart Cache,15 MB Intel® Smart Cache,15 MB Intel® Smart Cache,15 MB Intel® Smart Cache,15 MB Intel® Smart Cache,10 MB Intel® Smart Cache,15 MB Intel® Smart Cache,15 MB Intel® Smart Cache,15 MB Intel® Smart Cache,15 MB Intel® Smart Cache,15 MB Intel® Smart Cache,10 MB Intel® Smart Cache,15 MB Intel® Smart Cache,25 MB Intel® Smart Cache,20 MB Intel® Smart Cache,10 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,10 MB Intel® Smart Cache,20 MB Intel® Smart Cache,25 MB Intel® Smart Cache,25 MB Intel® Smart Cache,25 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,8 MB Intel® Smart Cache,25 MB Intel® Smart Cache,2 MB L2 Cache,2 MB L2 Cache,1 MB L2 Cache,2 MB,2 MB,1 MB,1 MB,2 MB L2 Cache,2 MB L2 Cache,3 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,15 MB Intel® Smart Cache,12 MB Intel® Smart Cache,10 MB Intel® Smart Cache,6 MB Intel® Smart Cache,1 MB,1 MB,1 MB,2 MB,2 MB,2 MB,2 MB,2 MB,4 MB,4 MB,4 MB,4 MB,4 MB,3 MB Intel® Smart Cache,8 MB L3 Cache,8 MB L3 Cache,4 MB L3 Cache,4 MB L3 Cache,2 MB L2 Cache,2 MB L2 Cache,1 MB L2 Cache,2 MB L2 Cache,512 KB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,1 MB L2 Cache,2 MB L2 Cache,2 MB L2 Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB,1 MB,1 MB,1 MB,2 MB,16 KB,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,2 MB L2 Cache,2 MB L2 Cache,2 MB L2 Cache,2 MB L2 Cache,2 MB L2 Cache,2 MB L2 Cache,2 MB L2 Cache,2 MB L2 Cache,2 MB L2 Cache,,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,4 MB Intel® Smart Cache,3 MB Intel® Smart Cache,,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,2 MB,2 MB,2 MB,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,16 KB,16 KB,16 KB,16 KB,16 KB,3 MB Intel® Smart Cache,2 MB,2 MB Intel® Smart Cache,4 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB,3 MB Intel® Smart Cache,1 MB,1 MB,2 MB,2 MB,2 MB,1 MB,16 KB,16 KB
Total Threads,,,4,4,24,30,30,30,12,16,20,24,24,30,30,24,12,30,30,30,30,20,12,16,16,20,20,16,12,16,20,20,16,20,20,20,24,24,16,16,8,20,20,24,4,8,8,30,12,8,12,12,4,12,12,12,12,4,12,12,12,12,8,8,12,20,16,4,8,8,4,16,20,20,16,2,2,8,20,4,4,2,4,4,2,2,,,4,4,4,12,12,8,,2,2,2,4,4,4,4,4,8,8,8,8,8,2,8,8,4,4,,,2,4,1,2,2,2,4,4,4,4,8,8,8,8,8,8,8,2,2,2,2,2,2,2,2,2,4,2,2,2,4,1,4,4,4,4,,,,,,,,,,,4,4,4,4,,2,2,2,2,2,2,2,2,8,8,8,1,1,1,1,1,4,2,2,4,4,4,4,4,4,4,2,2,4,4,4,2,1,1
Max Turbo Frequency,,,2.70 GHz,3.00 GHz,2.80 GHz,2.90 GHz,3.10 GHz,3.40 GHz,,2.50 GHz,2.70 GHz,2.80 GHz,3.20 GHz,2.90 GHz,3.40 GHz,2.80 GHz,3.60 GHz,2.90 GHz,2.80 GHz,3.10 GHz,3.40 GHz,3.70 GHz,3.70 GHz,2.40 GHz,3.30 GHz,2.10 GHz,3.20 GHz,2.50 GHz,3.80 GHz,3.40 GHz,2.10 GHz,3.00 GHz,4.00 GHz,3.30 GHz,3.60 GHz,3.60 GHz,3.20 GHz,3.50 GHz,2.70 GHz,3.00 GHz,3.60 GHz,2.70 GHz,2.90 GHz,2.90 GHz,,,,3.10 GHz,2.70 GHz,3.90 GHz,3.90 GHz,4.00 GHz,2.40 GHz,2.00 GHz,2.70 GHz,3.00 GHz,2.80 GHz,2.50 GHz,2.00 GHz,2.60 GHz,3.10 GHz,2.80 GHz,3.80 GHz,2.20 GHz,2.60 GHz,2.40 GHz,2.30 GHz,1.80 GHz,3.60 GHz,3.30 GHz,,2.40 GHz,2.50 GHz,3.00 GHz,4.00 GHz,,,3.90 GHz,2.50 GHz,,,,,,,,,,,,,4.00 GHz,3.90 GHz,3.90 GHz,,2.00 GHz,2.00 GHz,2.00 GHz,,2.40 GHz,,2.60 GHz,,,2.40 GHz,,2.60 GHz,,,,,,,,,,,,,,,,,2.70 GHz,3.00 GHz,3.50 GHz,3.50 GHz,3.30 GHz,3.30 GHz,3.80 GHz,3.90 GHz,4.00 GHz,,,,,,,,,,,,,,,,,,,2.90 GHz,,,,,,,,,,,3.00 GHz,3.60 GHz,3.70 GHz,3.40 GHz,,,,,,,,,,4.00 GHz,4.00 GHz,3.90 GHz,,,,,,3.20 GHz,,,3.10 GHz,2.70 GHz,,,,2.00 GHz,,,,,,,,,
Intel® Turbo Boost Technology 2.0 Frequency‡,,,2.70 GHz,3.00 GHz,2.80 GHz,2.90 GHz,3.10 GHz,3.40 GHz,,2.50 GHz,2.70 GHz,2.80 GHz,3.20 GHz,2.90 GHz,3.40 GHz,2.80 GHz,3.60 GHz,2.90 GHz,2.80 GHz,3.10 GHz,3.40 GHz,3.70 GHz,3.70 GHz,2.40 GHz,3.30 GHz,2.10 GHz,3.20 GHz,2.50 GHz,3.80 GHz,3.40 GHz,2.10 GHz,3.00 GHz,4.00 GHz,3.30 GHz,3.60 GHz,3.60 GHz,3.20 GHz,3.50 GHz,2.70 GHz,3.00 GHz,3.60 GHz,2.70 GHz,2.90 GHz,2.90 GHz,,,,3.10 GHz,2.70 GHz,3.90 GHz,3.90 GHz,4.00 GHz,,,2.70 GHz,3.00 GHz,2.80 GHz,,,2.60 GHz,3.10 GHz,2.80 GHz,3.80 GHz,,,2.40 GHz,2.30 GHz,,3.60 GHz,3.30 GHz,,2.40 GHz,2.50 GHz,3.00 GHz,4.00 GHz,,,3.90 GHz,2.50 GHz,,,,,,,,,,,,,4.00 GHz,3.90 GHz,3.90 GHz,,2.00 GHz,2.00 GHz,2.00 GHz,,2.40 GHz,,2.60 GHz,,,2.40 GHz,,2.60 GHz,,,,,,,,,,,,,,,,,2.70 GHz,3.00 GHz,3.50 GHz,3.50 GHz,3.30 GHz,3.30 GHz,3.80 GHz,3.90 GHz,4.00 GHz,,,,,,,,,,,,,,,,,,,2.90 GHz,,,,,,,,,,,3.00 GHz,3.60 GHz,3.70 GHz,3.40 GHz,,,,,,,,,,4.00 GHz,4.00 GHz,3.90 GHz,,,,,,3.20 GHz,,,3.10 GHz,2.70 GHz,,,,2.00 GHz,,,,,,,,,
Processor Base Frequency,,,1.40 GHz,1.50 GHz,2.30 GHz,2.30 GHz,2.50 GHz,2.80 GHz,1.90 GHz,2.00 GHz,2.20 GHz,2.30 GHz,2.60 GHz,2.30 GHz,2.80 GHz,2.30 GHz,3.00 GHz,2.30 GHz,2.20 GHz,2.50 GHz,2.80 GHz,3.20 GHz,3.40 GHz,1.90 GHz,2.50 GHz,1.70 GHz,2.40 GHz,2.00 GHz,3.50 GHz,2.60 GHz,1.70 GHz,2.20 GHz,3.30 GHz,2.50 GHz,2.80 GHz,3.00 GHz,2.40 GHz,2.70 GHz,2.30 GHz,2.60 GHz,3.30 GHz,2.20 GHz,2.40 GHz,2.40 GHz,2.50 GHz,2.70 GHz,2.00 GHz,2.50 GHz,2.20 GHz,3.70 GHz,3.50 GHz,3.70 GHz,2.40 GHz,2.00 GHz,2.20 GHz,2.50 GHz,2.40 GHz,2.50 GHz,2.00 GHz,2.10 GHz,2.60 GHz,2.40 GHz,3.50 GHz,2.20 GHz,2.60 GHz,1.80 GHz,1.80 GHz,1.80 GHz,2.40 GHz,2.10 GHz,1.80 GHz,1.90 GHz,1.90 GHz,2.40 GHz,3.40 GHz,2.20 GHz,1.50 GHz,2.70 GHz,1.90 GHz,2.41 GHz,2.00 GHz,2.41 GHz,2.00 GHz,1.60 GHz,2.00 GHz,1.46 GHz,1.33 GHz,1.46 GHz,2.60 GHz,3.00 GHz,3.60 GHz,3.60 GHz,3.40 GHz,3.70 GHz,1.40 GHz,1.70 GHz,1.70 GHz,1.70 GHz,1.70 GHz,1.70 GHz,2.40 GHz,2.40 GHz,2.40 GHz,2.00 GHz,1.70 GHz,2.40 GHz,2.40 GHz,2.40 GHz,2.30 GHz,1.80 GHz,2.50 GHz,2.00 GHz,2.50 GHz,1.50 GHz,1.33 GHz,1.33 GHz,1.91 GHz,1.46 GHz,1.46 GHz,1.75 GHz,2.41 GHz,2.00 GHz,2.41 GHz,1.90 GHz,2.00 GHz,2.50 GHz,2.50 GHz,2.30 GHz,2.30 GHz,2.80 GHz,2.90 GHz,3.10 GHz,1.40 GHz,1.10 GHz,1.60 GHz,1.70 GHz,1.20 GHz,2.80 GHz,2.70 GHz,2.40 GHz,2.20 GHz,2.17 GHz,1.60 GHz,1.86 GHz,2.13 GHz,1.86 GHz,400 MHz,2.60 GHz,1.80 GHz,2.90 GHz,1.80 GHz,1.59 GHz,1.46 GHz,1.49 GHz,1.33 GHz,1.33 GHz,1.33 GHz,1.33 GHz,1.33 GHz,1.33 GHz,,2.00 GHz,2.90 GHz,3.00 GHz,2.70 GHz,,3.40 GHz,3.30 GHz,2.80 GHz,3.10 GHz,2.70 GHz,2.90 GHz,2.80 GHz,2.50 GHz,3.60 GHz,3.20 GHz,2.70 GHz,400 MHz,400 MHz,400 MHz,400 MHz,400 MHz,2.60 GHz,2.40 GHz,2.20 GHz,2.00 GHz,1.70 GHz,2.00 GHz,1.90 GHz,1.90 GHz,1.60 GHz,1.60 GHz,2.16 GHz,1.58 GHz,1.83 GHz,2.16 GHz,1.25 GHz,1.25 GHz,400 MHz,400 MHz
Bus Speed,,,5 GT/s,5 GT/s,7.2 GT/s,8 GT/s,8 GT/s,8 GT/s,6.4 GT/s,7.2 GT/s,7.2 GT/s,7.2 GT/s,8 GT/s,8 GT/s,8 GT/s,7.2 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,7.2 GT/s,8 GT/s,7.2 GT/s,8 GT/s,7.2 GT/s,8 GT/s,8 GT/s,7.2 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,7.2 GT/s,7.2 GT/s,7.2 GT/s,8 GT/s,8 GT/s,8 GT/s,5 GT/s,5 GT/s,5 GT/s,8 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s,6.4 GT/s,6.4 GT/s,7.2 GT/s,7.2 GT/s,7.2 GT/s,6.4 GT/s,6.4 GT/s,7.2 GT/s,7.2 GT/s,7.2 GT/s,8 GT/s,6.4 GT/s,6.4 GT/s,8 GT/s,7.2 GT/s,6.4 GT/s,5 GT/s,5 GT/s,6.4 GT/s,7.2 GT/s,8 GT/s,8 GT/s,8 GT/s,5 GT/s,5 GT/s,5 GT/s,8 GT/s,,,,,,,,,,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,0 GT/s,,,,,,,,,,,,,,5 GT/s,5 GT/s,5 GT/s,,5 GT/s,,,,,,,,,,,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,,,,,,,5 GT/s,5 GT/s,5 GT/s,5 GT/s,,,,,,,,,,,5 GT/s,5 GT/s,5 GT/s,5 GT/s,,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,,,,,,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,,,,,,,,
TDP,,,15 W,15 W,105 W,130 W,130 W,155 W,105 W,105 W,105 W,105 W,130 W,130 W,155 W,105 W,130 W,130 W,105 W,130 W,155 W,155 W,155 W,95 W,95 W,60 W,95 W,95 W,130 W,95 W,70 W,95 W,130 W,115 W,115 W,130 W,115 W,130 W,95 W,95 W,130 W,95 W,95 W,115 W,27 W,43 W,27 W,130 W,60 W,130 W,130 W,130 W,80 W,50 W,80 W,80 W,60 W,80 W,50 W,80 W,80 W,60 W,130 W,95 W,95 W,70 W,60 W,80 W,47 W,47 W,80 W,70 W,70 W,95 W,150 W,37 W,25 W,45 W,70 W,10 W,10 W,10 W,7.5 W,7.5 W,7.5 W,4.3 W,,,37 W,35 W,54 W,130 W,130 W,130 W,40 W,7 W,6 W,7 W,13 W,9 W,15 W,14 W,15 W,18 W,12 W,20 W,20 W,20 W,35 W,25 W,40 W,15 W,25 W,,,6 W,10 W,5 W,7 W,8 W,10 W,10 W,10 W,35 W,35 W,47 W,47 W,37 W,37 W,47 W,47 W,57 W,15 W,11.5 W,15 W,15 W,11.5 W,53 W,53 W,35 W,35 W,7.5 W,4.5 W,7.5 W,7.5 W,7.5 W,2.2 W,37 W,25 W,37 W,25 W,,,,,,,,,,,15 W,37 W,37 W,37 W,,53 W,53 W,35 W,53 W,35 W,53 W,53 W,35 W,84 W,65 W,45 W,2.2 W,2.2 W,2.2 W,2.2 W,2.2 W,37 W,37 W,37 W,15 W,15 W,15 W,15 W,15 W,11.5 W,11.5 W,7.5 W,4.3 W,7.5 W,7.5 W,9.5 W,6 W,2.2 W,2.2 W
# of QPI Links,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,3,,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,,,2,2,2,2,2,,,0,2,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario Design Power (SDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5 W,4.5 W,4.5 W,2.5 W,2 W,2 W,,,,,,,,,,,,,,,,,,,,,,,,,,2.2 W,2.2 W,,,,,,,,,,,,,,,,,,,6 W,,,6 W,,,,,4.5 W,2.5 W,4.5 W,4.5 W,4.5 W,,,,,,2 W,2 W,2.2 W,2 W,2.2 W,2.2 W,2.2 W,2.2 W,2.2 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 W,6 W,4.5 W,2.5 W,4.5 W,4.5 W,,,,

Supplemental Information
