ARK | Intel® Product Specification Comparison
01/25/2024 11:23:23 AM
 ,Intel® Xeon® Gold 5118 Processor ,Intel® Xeon® Gold 5120 Processor ,Intel® Xeon® Gold 5122 Processor ,Intel® Xeon® Gold 6138 Processor ,Intel® Xeon® Gold 5120T Processor ,Intel® Xeon® Gold 6136 Processor ,Intel® Xeon® Silver 4116 Processor ,Intel® Xeon® Gold 6128 Processor ,Intel® Xeon® Gold 6126 Processor ,Intel® Xeon® Gold 5115 Processor ,Intel® Xeon® Gold 6140 Processor ,Intel® Xeon® Gold 6142 Processor ,Intel® Xeon® Gold 6148 Processor ,Intel® Xeon® Gold 6150 Processor ,Intel® Xeon® Gold 6152 Processor ,Intel® Xeon® Gold 6130 Processor ,Intel® Xeon® Gold 6134 Processor ,Intel® Xeon® Gold 6154 Processor ,Intel® Xeon® Platinum 8180 Processor ,Intel® Xeon® Platinum 8153 Processor ,Intel® Xeon® Platinum 8156 Processor ,Intel® Xeon® Platinum 8158 Processor ,Intel® Xeon® Platinum 8160 Processor ,Intel® Xeon® Platinum 8164 Processor ,Intel® Xeon® Platinum 8168 Processor ,Intel® Xeon® Platinum 8170 Processor ,Intel® Xeon® Platinum 8176 Processor ,Intel® Core™ i7-7740X X-series Processor ,Intel® Core™ i5-7640X X-series Processor ,Intel® Core™ i7-8550U Processor ,Intel® Pentium® Gold Processor 4415Y ,Intel® Celeron® Processor 3965Y ,Intel® Celeron® Processor G3930E ,Intel® Celeron® Processor G3930TE ,Intel® Itanium® Processor 9740 ,Intel® Itanium® Processor 9720 ,Intel® Itanium® Processor 9760 ,Intel® Itanium® Processor 9750 ,Intel® Xeon® Processor D-1533N ,Intel® Xeon® Processor D-1513N ,Intel® Xeon® Processor D-1543N ,Intel® Xeon® Processor D-1523N ,Intel® Xeon® Processor D-1553N ,Intel Atom® Processor C2316 ,Intel Atom® Processor C2516 ,Intel® Xeon® Bronze 3106 Processor ,Intel® Xeon® Gold 6132 Processor ,Intel® Xeon® Gold 6138T Processor ,Intel® Xeon® Platinum 8160T Processor ,Intel® Xeon® Silver 4108 Processor ,Intel® Xeon® Gold 6130T Processor ,Intel® Xeon® Bronze 3104 Processor ,Intel® Xeon® Silver 4110 Processor ,Intel® Xeon® Gold 6126T Processor ,Intel® Xeon® Silver 4109T Processor ,Intel® Xeon® Silver 4114 Processor ,Intel® Xeon® Silver 4112 Processor ,Intel® Core™ i7-7800X X-series Processor ,Intel® Core™ i9-7900X X-series Processor ,Intel® Xeon® Gold 6142F Processor ,Intel® Xeon® Gold 6138F Processor ,Intel® Xeon® Platinum 8160F Processor ,Intel® Xeon® Gold 6130F Processor ,Intel® Xeon® Gold 6126F Processor ,Intel® Xeon® Gold 6148F Processor ,Intel® Core™ i7-7820X X-series Processor ,Intel® Xeon® Gold 6146 Processor ,Intel® Xeon® Gold 6144 Processor ,Intel® Core™ i5-8250U Processor ,Intel® Core™ i7-8650U Processor ,Intel® Core™ i5-8350U Processor ,Intel® Core™ i3-7130U Processor ,Intel® Xeon® W-2123 Processor ,Intel® Xeon® W-2133 Processor ,Intel® Xeon® W-2155 Processor ,Intel® Xeon® Platinum 8176F Processor ,Intel® Xeon® Silver 4114T Processor ,Intel® Xeon® Gold 5119T Processor ,Intel® Xeon® Silver 4116T Processor ,Intel® Core™ i9-7920X X-series Processor ,Intel® Core™ i7-8700K Processor ,Intel® Core™ i5-8600K Processor ,Intel® Core™ i7-8700 Processor ,Intel® Core™ i5-8400 Processor ,Intel® Core™ i3-8100 Processor ,Intel® Core™ i3-8350K Processor ,Intel® Core™ i9-7940X X-series Processor ,Intel® Core™ i9-7960X X-series Processor ,Intel® Core™ i9-7980XE Extreme Edition Processor ,Intel® Xeon® W-2145 Processor ,Intel® Xeon® W-2125 Processor ,Intel® Xeon® W-2135 Processor ,Intel® Xeon® W-2195 Processor ,Intel® Xeon Phi™ Processor 7295 ,Intel® Xeon Phi™ Processor 7285 ,Intel® Xeon Phi™ Processor 7235 ,Intel® Celeron® Processor N4100 ,Intel® Pentium® Silver J5005 Processor ,Intel® Celeron® Processor N4000 ,Intel® Celeron® J4105 Processor ,Intel® Pentium® Silver N5000 Processor ,Intel® Celeron® J4005 Processor ,Intel® Xeon® W-2175 Processor ,Intel® Core™ i5-8305G Processor with Radeon™ RX Vega M GL graphics ,Intel® Core™ i7-8809G Processor with Radeon™ RX Vega M GH graphics ,Intel® Core™ i7-8705G Processor with Radeon™ RX Vega M GL graphics ,Intel® Xeon® E-2176G Processor ,Intel® Core™ i3-8100H Processor ,Intel® Core™ i5-9500TE Processor ,Intel® Core™ i3-6006U Processor ,Intel Atom® x3-C3235RK Processor ,Intel Atom® x3-C3205RK Processor ,Intel Atom® x5-E3940 Processor ,Intel Atom® x5-E3930 Processor ,Intel Atom® x7-E3950 Processor ,Intel® Celeron® Processor 3965U ,Intel® Celeron® Processor 3865U ,Intel® Pentium® Gold Processor 4415U ,Intel® Xeon® Processor E5-2699A v4 ,Intel® Xeon® Processor E7-8894 v4 ,Intel® Xeon® Processor E5-2699R v4 ,Intel® Core™ i5-7500T Processor ,Intel® Core™ i7-7700T Processor ,Intel® Core™ i5-7500 Processor ,Intel® Core™ i3-7102E Processor ,Intel® Core™ i3-7101TE Processor ,Intel® Core™ i3-7100H Processor ,Intel® Core™ i7-7820EQ Processor ,Intel® Core™ i7-7700 Processor ,Intel® Core™ i7-7700K Processor ,Intel® Core™ i3-7101E Processor ,Intel® Core™ i3-7100E Processor ,Intel Atom® x3-C3265RK Processor ,Intel Atom® x3-C3295RK Processor ,Intel® Pentium® Gold Processor 4410Y ,Intel® Pentium® Processor G4560 ,Intel® Core™ i5-7600K Processor ,Intel® Core™ i5-7400 Processor ,Intel® Core™ i5-7600 Processor ,Intel® Core™ i5-7600T Processor ,Intel® Core™ i5-7400T Processor ,Intel® Core™ i7-7700HQ Processor ,Intel® Celeron® Processor G3950 ,Intel® Celeron® Processor G3930 ,Intel® Pentium® Processor G4600 ,Intel® Core™ i3-7100 Processor ,Intel® Core™ i5-7300HQ Processor ,Intel® Core™ i3-7300T Processor ,Intel® Core™ i3-7300 Processor ,Intel® Core™ i5-7440HQ Processor ,Intel® Pentium® Processor G4620 ,Intel® Core™ i5-7Y57 Processor ,Intel® Core™ i7-7920HQ Processor ,Intel® Xeon® Processor E3-1505M v6 ,Intel® Core™ i7-7820HK Processor ,Intel® Pentium® Processor G4560T ,Intel® Celeron® Processor G3930T ,Intel® Xeon® Processor E3-1535M v6 ,Intel® Xeon® Processor E3-1240 v6 ,Intel® Xeon® Processor E3-1220 v6 ,Intel® Core™ i5-7300U Processor ,Intel® Xeon® Processor E3-1245 v6 ,Intel® Xeon® Processor E3-1230 v6 ,Intel® Xeon® Processor E3-1280 v6 ,Intel® Xeon® Processor E3-1225 v6 ,Intel® Xeon® Processor E3-1275 v6 ,Intel® Xeon® Processor E3-1270 v6 ,Intel® Core™ i3-7320 Processor ,Intel® Core™ i3-7100T Processor ,Intel® Pentium® Processor G4600T ,Intel® Core™ i7-7820HQ Processor ,Intel® Core™ i5-7440EQ Processor ,Intel® Core™ i3-7350K Processor ,Intel® Core™ i5-7267U Processor ,Intel® Core™ i5-7287U Processor ,Intel® Core™ i5-7442EQ Processor ,Intel® Core™ i5-7360U Processor ,Intel® Core™ i7-7660U Processor ,Intel® Core™ m3-7Y32 Processor ,Intel® Core™ i5-7260U Processor ,Intel® Core™ i7-7560U Processor ,Intel® Core™ i7-7567U Processor ,Intel® Core™ i3-7167U Processor ,Intel Atom® Processor C3758 ,Intel Atom® Processor C3958 ,Intel Atom® Processor C3338 ,Intel Atom® Processor C3538 ,Intel Atom® Processor C3508 ,Intel Atom® Processor C3830 ,Intel Atom® Processor C3850 ,Intel Atom® Processor C3955 ,Intel Atom® Processor C3708 ,Intel Atom® Processor C3308 ,Intel Atom® Processor C3858 ,Intel Atom® Processor C3558 ,Intel Atom® Processor C3750 ,Intel Atom® Processor C3808 ,Intel Atom® Processor C3950 ,Intel® Xeon® Processor E3-1505L v6 ,Intel® Xeon® Processor E3-1285 v6 
Total Threads,24,28,8,40,28,24,24,12,24,20,36,32,40,36,44,32,16,36,56,32,8,24,48,52,48,52,56,12,,8,4,2,2,2,16,8,16,8,12,8,16,8,16,2,4,8,28,40,48,16,32,6,16,24,16,20,8,12,20,32,40,48,32,24,40,16,24,16,8,8,8,4,8,12,20,56,20,28,24,24,12,6,12,6,4,4,28,32,36,16,8,12,36,,,,4,4,2,4,4,2,28,8,8,8,12,4,6,4,,,4,2,4,2,2,4,44,48,44,4,8,4,4,4,4,8,8,8,4,4,,,4,4,4,4,4,4,4,8,2,2,4,4,4,4,4,4,4,4,8,8,8,4,2,8,8,4,4,8,8,8,4,8,8,4,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4,8,16,2,4,4,12,12,16,8,2,12,4,8,12,16,8,8
Max Turbo Frequency,3.20 GHz,3.20 GHz,3.70 GHz,3.70 GHz,3.20 GHz,3.70 GHz,3.00 GHz,3.70 GHz,3.70 GHz,3.20 GHz,3.70 GHz,3.70 GHz,3.70 GHz,3.70 GHz,3.70 GHz,3.70 GHz,3.70 GHz,3.70 GHz,3.80 GHz,2.80 GHz,3.70 GHz,3.70 GHz,3.70 GHz,3.70 GHz,3.70 GHz,3.70 GHz,3.80 GHz,4.5 GHz,4.20 GHz,4.00 GHz,,,,,,,,,2.70 GHz,2.20 GHz,2.50 GHz,2.60 GHz,2.70 GHz,,,,3.70 GHz,3.70 GHz,3.70 GHz,3.00 GHz,3.70 GHz,,3.00 GHz,3.70 GHz,3.00 GHz,3.00 GHz,3.00 GHz,4.00 GHz,4.30 GHz,3.70 GHz,3.70 GHz,3.70 GHz,3.70 GHz,3.70 GHz,3.70 GHz,4.30 GHz,4.20 GHz,4.20 GHz,3.40 GHz,4.20 GHz,3.60 GHz,,3.90 GHz,3.90 GHz,4.50 GHz,3.80 GHz,3.00 GHz,3.20 GHz,3.00 GHz,4.30 GHz,4.70 GHz,4.30 GHz,4.60 GHz,4.00 GHz,,,4.30 GHz,4.20 GHz,4.20 GHz,4.50 GHz,4.50 GHz,4.50 GHz,4.30 GHz,,,,,,,,,,4.30 GHz,3.80 GHz,4.20 GHz,4.10 GHz,4.70 GHz,,3.60 GHz,,,,,,,,,,3.60 GHz,3.40 GHz,3.60 GHz,3.30 GHz,3.80 GHz,3.80 GHz,,,,3.70 GHz,4.20 GHz,4.50 GHz,,,,,,,4.20 GHz,3.50 GHz,4.10 GHz,3.70 GHz,3.00 GHz,3.80 GHz,,,,,3.50 GHz,,,3.80 GHz,,3.30 GHz,4.10 GHz,4.00 GHz,3.90 GHz,,,4.20 GHz,4.10 GHz,3.50 GHz,3.50 GHz,4.10 GHz,3.90 GHz,4.20 GHz,3.70 GHz,4.20 GHz,4.20 GHz,,,,3.90 GHz,3.60 GHz,,3.50 GHz,3.70 GHz,2.90 GHz,3.60 GHz,4.00 GHz,3.00 GHz,3.40 GHz,3.80 GHz,4.00 GHz,,2.20 GHz,2.00 GHz,2.20 GHz,2.10 GHz,1.60 GHz,2.30 GHz,2.40 GHz,2.40 GHz,1.70 GHz,2.10 GHz,2.00 GHz,2.20 GHz,2.40 GHz,2.00 GHz,2.20 GHz,3.00 GHz,4.50 GHz
Processor Base Frequency,2.3 GHz,2.20 GHz,3.60 GHz,2.00 GHz,2.20 GHz,3.00 GHz,2.10 GHz,3.40 GHz,2.60 GHz,2.40 GHz,2.30 GHz,2.60 GHz,2.40 GHz,2.70 GHz,2.10 GHz,2.10 GHz,3.20 GHz,3.00 GHz,2.50 GHz,2.00 GHz,3.60 GHz,3.00 GHz,2.10 GHz,2.00 GHz,2.70 GHz,2.10 GHz,2.10 GHz,4.30 GHz,4.00 GHz,1.80 GHz,1.60 GHz,1.50 GHz,2.90 GHz,2.70 GHz,2.13 GHz,1.73 GHz,2.66 GHz,2.53 GHz,2.10 GHz,1.60 GHz,1.90 GHz,2.00 GHz,2.30 GHz,1.50 GHz,1.40 GHz,1.70 GHz,2.60 GHz,2.00 GHz,2.10 GHz,1.80 GHz,2.10 GHz,1.70 GHz,2.10 GHz,2.60 GHz,2.00 GHz,2.20 GHz,2.60 GHz,3.50 GHz,3.30 GHz,2.60 GHz,2.00 GHz,2.10 GHz,2.10 GHz,2.60 GHz,2.40 GHz,3.60 GHz,3.20 GHz,3.50 GHz,1.60 GHz,1.90 GHz,1.70 GHz,2.70 GHz,3.60 GHz,3.60 GHz,3.30 GHz,2.10 GHz,2.20 GHz,1.90 GHz,2.10 GHz,2.90 GHz,3.70 GHz,3.60 GHz,3.20 GHz,2.80 GHz,3.60 GHz,4.00 GHz,3.10 GHz,2.80 GHz,2.60 GHz,3.70 GHz,4.00 GHz,3.70 GHz,2.30 GHz,,,,1.10 GHz,1.50 GHz,1.10 GHz,1.50 GHz,1.10 GHz,2.00 GHz,2.50 GHz,2.80 GHz,3.10 GHz,3.10 GHz,3.70 GHz,3.00 GHz,2.20 GHz,2.00 GHz,,,1.60 GHz,1.30 GHz,1.60 GHz,2.20 GHz,1.80 GHz,2.30 GHz,2.40 GHz,2.40 GHz,2.20 GHz,2.70 GHz,2.90 GHz,3.40 GHz,2.10 GHz,3.40 GHz,3.00 GHz,3.00 GHz,3.60 GHz,4.20 GHz,3.90 GHz,2.90 GHz,,,1.50 GHz,3.50 GHz,3.80 GHz,3.00 GHz,3.50 GHz,2.80 GHz,2.40 GHz,2.80 GHz,3.00 GHz,2.90 GHz,3.60 GHz,3.90 GHz,2.50 GHz,3.50 GHz,4.00 GHz,2.80 GHz,3.70 GHz,1.20 GHz,3.10 GHz,3.00 GHz,2.90 GHz,2.90 GHz,2.70 GHz,3.10 GHz,3.70 GHz,3.00 GHz,2.60 GHz,3.70 GHz,3.50 GHz,3.90 GHz,3.30 GHz,3.80 GHz,3.80 GHz,4.10 GHz,3.40 GHz,3.00 GHz,2.90 GHz,2.90 GHz,4.20 GHz,3.10 GHz,3.30 GHz,2.10 GHz,2.30 GHz,2.50 GHz,1.10 GHz,2.20 GHz,2.40 GHz,3.50 GHz,2.80 GHz,2.20 GHz,2.00 GHz,1.50 GHz,2.10 GHz,1.60 GHz,1.90 GHz,2.10 GHz,2.10 GHz,1.70 GHz,1.60 GHz,2.00 GHz,2.20 GHz,2.20 GHz,2.00 GHz,1.70 GHz,2.20 GHz,4.10 GHz
Cache,16.5 MB L3 Cache,19.25 MB L3 Cache,16.5 MB L3 Cache,27.5 MB L3 Cache,19.25 MB L3 Cache,24.75 MB L3 Cache,16.5 MB L3 Cache,19.25 MB L3 Cache,19.25 MB L3 Cache,13.75 MB L3 Cache,24.75 MB L3 Cache,22 MB L3 Cache,27.5 MB L3 Cache,24.75 MB L3 Cache,30.25 MB L3 Cache,22 MB L3 Cache,24.75 MB L3 Cache,24.75 MB L3 Cache,38.5 MB L3 Cache,22 MB L3 Cache,16.5 MB L3 Cache,24.75 MB L3 Cache,33 MB L3 Cache,35.75 MB L3 Cache,33 MB L3 Cache,35.75 MB L3 Cache,38.5 MB L3 Cache,20 MB,6 MB,8192,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB,2 MB,24 MB,20 MB,32 MB,32 MB,9 MB,6 MB,12 MB,6 MB,12 MB,1 MB,2 MB,11 MB L3 Cache,19.25 MB L3 Cache,27.5 MB L3 Cache,33 MB L3 Cache,11 MB L3 Cache,22 MB L3 Cache,8.25 MB L3 Cache,11 MB L3 Cache,19.25 MB L3 Cache,11 MB L3 Cache,13.75 MB L3 Cache,8.25 MB L3 Cache,8.25 MB L3 Cache,13.75 MB L3 Cache,22 MB L3 Cache,27.5 MB L3 Cache,33 MB L3 Cache,22 MB L3 Cache,19.25 MB L3 Cache,27.5 MB L3 Cache,11 MB L3 Cache,24.75 MB L3 Cache,24.75 MB L3 Cache,6 MB Intel® Smart Cache,8 MB Intel® Smart Cache,6 MB Intel® Smart Cache,3 MB Intel® Smart Cache,8.25 MB,8.25 MB,13.75 MB,38.5 MB L3 Cache,13.75 MB L3 Cache,19.25 MB L3 Cache,16.5 MB L3 Cache,16.5 MB L3 Cache,12 MB Intel® Smart Cache,9 MB Intel® Smart Cache,12 MB Intel® Smart Cache,9 MB Intel® Smart Cache,6 MB Intel® Smart Cache,8 MB Intel® Smart Cache,19.25 MB,22 MB,24.75 MB,11 MB,8.25 MB,8.25 MB,24.75 MB,,,,4 MB,4 MB,4 MB,4 MB,4 MB,4 MB,19 MB,6 MB,8 MB,8 MB,12 MB Intel® Smart Cache,6 MB Intel® Smart Cache,9 MB,3 MB Intel® Smart Cache,1 MB,1 MB,2 MB L2 Cache,2 MB L2 Cache,2 MB L2 Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,55 MB,60 MB,55 MB,6 MB Intel® Smart Cache,8 MB Intel® Smart Cache,6 MB Intel® Smart Cache,3 MB,3 MB Intel® Smart Cache,3 MB,8 MB,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB,1 MB L2 Cache,1 MB L2 Cache,2 MB Intel® Smart Cache,3 MB,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB,2 MB,2 MB,3 MB,3 MB Intel® Smart Cache,6 MB,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,6 MB,3 MB,4 MB Intel® Smart Cache,8 MB,8 MB,8 MB,3 MB,2 MB,8 MB,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,3 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,4 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB,8 MB,6 MB,4 MB Intel® Smart Cache,4 MB,4 MB,6 MB,4 MB,4 MB,4 MB Intel® Smart Cache,4 MB,4 MB,4 MB,3 MB,16 MB,16 MB,4 MB,8 MB,8 MB,12 MB,12 MB,16 MB,16 MB,4 MB,12 MB,8 MB,16 MB,12 MB,16 MB,8 MB,8 MB Intel® Smart Cache
Max # of UPI Links,2,2,2,3,2,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,20,,,,,,,,,,,,,,,,,,2,3,3,3,2,3,2,2,3,2,2,2,,,2,2,2,2,2,2,,3,3,,,,,0,0,0,2,2,2,2,,,,,,,,,,,0,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
TDP,105 W,105 W,105 W,125 W,105 W,150 W,85 W,115 W,125 W,85 W,140 W,150 W,150 W,165 W,140 W,125 W,130 W,200 W,205 W,125 W,105 W,150 W,150 W,150 W,205 W,165 W,165 W,112 W,112 W,15 W,6 W,6 W,54 W,35 W,170 W,130 W,170 W,170 W,45 W,35 W,45 W,45 W,65 W,7 W,10 W,85 W,140 W,125 W,150 W,85 W,125 W,85 W,85 W,125 W,70 W,85 W,85 W,140 W,140 W,160 W,135 W,160 W,135 W,135 W,160 W,140 W,165 W,150 W,15 W,15 W,15 W,15 W,120 W,140 W,140 W,173 W,85 W,85 W,85 W,140 W,95 W,95 W,65 W,65 W,65 W,91 W,165 W,165 W,165 W,140 W,120 W,140 W,140 W,,,,6 W,10 W,6 W,10 W,6 W,10 W,140 W,,,,80 W,45 W,35 W,15 W,,,9.5 W,6.5 W,12 W,15 W,15 W,15 W,145 W,165 W,145 W,35 W,35 W,65 W,25 W,35 W,35 W,45 W,65 W,91 W,54 W,35 W,,,6 W,54 W,91 W,65 W,65 W,35 W,35 W,45 W,51 W,51 W,51 W,51 W,45 W,35 W,51 W,45 W,51 W,4.5 W,45 W,45 W,45 W,35 W,35 W,45 W,72 W,72 W,15 W,73 W,72 W,72 W,73 W,73 W,72 W,51 W,35 W,35 W,45 W,45 W,60 W,28 W,28 W,25 W,15 W,15 W,4.5 W,15 W,15 W,28 W,28 W,25 W,31 W,8.5 W,15 W,11.5 W,21.5 W,25 W,32 W,17 W,9.5 W,25 W,16 W,21 W,25 W,24 W,25 W,79 W
# of Performance-cores,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Efficiency-cores,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Thermal Velocity Boost Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Turbo Boost Technology 2.0 Frequency‡,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7 GHz,4.20 GHz,4.00 GHz,,,,,,,,,2.70 GHz,2.20 GHz,2.50 GHz,2.60 GHz,2.70 GHz,,,,,,,,,,,,,,,4.00 GHz,,,,,,,,,,,3.40 GHz,4.20 GHz,3.60 GHz,,,,,,,,,,4.70 GHz,4.30 GHz,4.60 GHz,4.00 GHz,,,,,,,,,,,,,,,,,,,,3.80 GHz,4.20 GHz,4.10 GHz,4.70 GHz,,3.60 GHz,,,,,,,,,,3.60 GHz,3.40 GHz,3.60 GHz,3.30 GHz,3.80 GHz,3.80 GHz,,,,3.70 GHz,4.20 GHz,4.50 GHz,,,,,,,4.20 GHz,3.50 GHz,4.10 GHz,3.70 GHz,3.00 GHz,3.80 GHz,,,,,3.50 GHz,,,3.80 GHz,,3.30 GHz,4.10 GHz,4.00 GHz,3.90 GHz,,,4.20 GHz,4.10 GHz,3.50 GHz,3.50 GHz,4.10 GHz,3.90 GHz,4.20 GHz,3.70 GHz,4.20 GHz,4.20 GHz,,,,3.90 GHz,3.60 GHz,,3.50 GHz,3.70 GHz,2.90 GHz,3.60 GHz,4.00 GHz,3.00 GHz,3.40 GHz,3.80 GHz,4.00 GHz,,,,2.20 GHz,,,2.30 GHz,2.40 GHz,2.40 GHz,,2.10 GHz,,,2.40 GHz,,2.20 GHz,3.00 GHz,4.50 GHz
Single P-core Turbo Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total L2 Cache,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® UPI Speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,40 GT/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 GT/s,8 GT/s,4 GT/s,4 GT/s,4 GT/s,,,6.4 GT/s,6.4 GT/s,6.4 GT/s,6.4 GT/s,,,,,,,,,,,,,,,,,,,,8 GT/s,8 GT/s,,,,,,,8 GT/s,,,4 GT/s,4 GT/s,4 GT/s,4 GT/s,8 GT/s,8 GT/s,8 GT/s,,,,,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,,,,,,,,,,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,4 GT/s,,,,,,4 GT/s,4 GT/s,4 GT/s,9.6 GT/s,9.6 GT/s,9.6 GT/s,8 GT/s,8 GT/s,8 GT/s,,8 GT/s,8 GT/s,,8 GT/s,8 GT/s,,,,,4 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,4 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,4 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,4 GT/s,4 GT/s,,4 GT/s,4 GT/s,4 GT/s,,,4 GT/s,4 GT/s,,,,,,,,,,,,,,,,,8 GT/s
# of QPI Links,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,0,0,0,,,,,0,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,2,3,2,0,0,0,,,,,0,0,,,,,,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,,,,,0,0,,,,,,,,,,,0,0,0,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Configurable TDP-up Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80 GHz,2.10 GHz,1.90 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60 GHz,,,,,,,,,2.70 GHz,,,,,,,,,,,,,,,,,,1.60 GHz,,,,,,,,,,,,,,,,,,,,,
Configurable TDP-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 W,25 W,25 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 W,,,,,,,,,25 W,,,,,,,,,,,,,,,,,,7 W,,,,,,,,,,,,,,,,,,,,,
