ARK | Intel® Product Specification Comparison
01/25/2024 11:24:35 AM
 ,Intel® Celeron® Processor G550T ,Intel® Core™ i5-3330 Processor ,Intel® Core™ i5-3330S Processor ,Intel® Pentium® Processor G2120 ,Intel® Core™ i3-3240 Processor ,Intel® Core™ i3-3225 Processor ,Intel® Core™ i3-3220 Processor ,Intel® Core™ i3-3220T Processor ,Intel® Pentium® Processor G2100T ,Intel® Core™ i3-3240T Processor ,Intel® Pentium® Processor 987 ,Intel® Core™ i5-3350P Processor ,Intel® Celeron® Processor G555 ,Intel® Pentium® Processor G645 ,Intel® Pentium® Processor 997 ,Intel® Celeron® Processor 887 ,Intel® Celeron® Processor G465 ,Intel® Pentium® Processor G645T ,Intel Atom® Processor Z2480 ,Intel Atom® Processor Z2580 ,Intel Atom® Processor Z2560 ,Intel Atom® Processor Z2760 ,Intel® Core™ i3-2365M Processor ,Intel Atom® Processor Z2420 ,Intel® Core™ i7-3970X Processor Extreme Edition ,Intel® Core™ i7-3840QM Processor ,Intel® Core™ i7-3740QM Processor ,Intel® Core™ i3-2328M Processor ,Intel® Pentium® Processor G2130 ,Intel® Core™ i3-3210 Processor ,Intel® Pentium® Processor G2020T ,Intel® Pentium® Processor G2020 ,Intel® Pentium® Processor G2010 ,Intel® Celeron® Processor G1610 ,Intel® Celeron® Processor G1620 ,Intel® Celeron® Processor G1610T ,Intel® Core™ i7-3940XM Processor Extreme Edition ,Intel® Pentium® Processor G2120T ,Intel® Celeron® Processor B830 ,Intel® Pentium® Processor 2020M ,Intel® Core™ i7-3540M Processor ,Intel® Core™ i5-3380M Processor ,Intel® Core™ i5-3340M Processor ,Intel® Core™ i7-3687U Processor ,Intel® Core™ i5-3437U Processor ,Intel Atom® Processor S1260 ,Intel Atom® Processor S1240 ,Intel Atom® Processor S1220 ,Intel® Core™ i7-3632QM Processor ,Intel® Core™ i7-3630QM Processor ,Intel® Core™ i7-3635QM Processor ,Intel® Core™ i3-3120M Processor ,Intel® Pentium® Processor 2117U ,Intel® Core™ i7-3632QM Processor ,Intel® Itanium® Processor 9560 ,Intel® Itanium® Processor 9550 ,Intel® Itanium® Processor 9540 ,Intel® Itanium® Processor 9520 ,Intel® Xeon Phi™ Coprocessor 5110P ,Intel® Celeron® Processor 1020M ,Intel® Celeron® Processor 1037U ,Intel® Core™ i3-3229Y Processor ,Intel® Core™ i5-3339Y Processor ,Intel® Core™ i5-3439Y Processor ,Intel® Core™ i7-3689Y Processor ,Intel® Pentium® Processor 2129Y ,Intel® Core™ i7-3537U Processor ,Intel® Core™ i5-3337U Processor ,Intel® Core™ i5-3230M Processor ,Intel® Core™ i3-3227U Processor ,Intel® Core™ i3-3130M Processor ,Intel® Pentium® Processor 2030M ,Intel® Celeron® Processor 1000M ,Intel® Celeron® Processor 1007U ,Intel® Core™ i5-3230M Processor ,Intel® Core™ i3-2375M Processor ,Intel® Celeron® Processor 1020E ,Intel® Celeron® Processor 1047UE ,Intel® Celeron® Processor 927UE ,Intel® Celeron® Processor G470 ,Intel® Core™ i3-2348M Processor ,Intel® Core™ i3-3250 Processor ,Intel® Core™ i3-3250T Processor ,Intel® Core™ i3-3245 Processor ,Intel® Pentium® Processor G2140 ,Intel® Pentium® Processor G2030T ,Intel® Pentium® Processor G2030 ,Intel® Core™ i5-4200H Processor ,Intel® Core™ i5-4250U Processor ,Intel® Core™ i5-4350U Processor ,Intel® Core™ i5-4430 Processor ,Intel® Core™ i5-4430S Processor ,Intel® Core™ i5-4440 Processor ,Intel® Core™ i5-4440S Processor ,Intel® Core™ i5-4570 Processor ,Intel® Core™ i5-4570S Processor ,Intel® Core™ i5-4570T Processor ,Intel® Core™ i5-4670 Processor ,Intel® Core™ i5-4670K Processor ,Intel® Core™ i5-4670S Processor ,Intel® Core™ i5-4670T Processor ,Intel® Xeon® Processor E3-1220L v3 ,Intel® Xeon® Processor E3-1220 v3 ,Intel® Xeon® Processor E3-1230L v3 ,Intel® Xeon® Processor E3-1230 v3 ,Intel® Xeon® Processor E3-1240 v3 ,Intel® Xeon® Processor E3-1270 v3 ,Intel® Xeon® Processor E3-1280 v3 ,Intel® Celeron® Processor 1019Y ,Intel® Core™ i3-4000M Processor ,Intel® Core™ i3-4005U Processor ,Intel® Core™ i3-4010U Processor ,Intel® Core™ i3-4100U Processor ,Intel® Core™ i7-4550U Processor ,Intel® Core™ i7-4650U Processor ,Intel® Core™ i7-4700HQ Processor ,Intel® Core™ i7-4700MQ Processor ,Intel® Core™ i7-4702HQ Processor ,Intel® Core™ i7-4702MQ Processor ,Intel® Core™ i7-4765T Processor ,Intel® Core™ i7-4770 Processor ,Intel® Core™ i7-4770K Processor ,Intel® Core™ i7-4770S Processor ,Intel® Core™ i7-4770T Processor ,Intel® Core™ i7-4800MQ Processor ,Intel® Core™ i7-4900MQ Processor ,Intel® Core™ i7-4930MX Processor Extreme Edition ,Intel® Pentium® Processor 2127U ,Intel® Celeron® Processor 1017U ,Intel® Celeron® Processor 1005M ,Intel Atom® Processor Z2520 ,Intel® Core™ i5-4200U Processor ,Intel® Core™ i7-4500U Processor ,Intel® Xeon® Processor E3-1225 v3 ,Intel® Xeon® Processor E3-1245 v3 ,Intel® Xeon® Processor E3-1265L v3 ,Intel® Xeon® Processor E3-1275 v3 ,Intel® Xeon® Processor E3-1285 v3 ,Intel® Xeon® Processor E3-1285L v3 ,Intel® Xeon® Processor E3-1268L v3 ,Intel® Core™ i5-4570TE Processor ,Intel® Core™ i7-4700EQ Processor ,Intel® Celeron® Processor 2955U ,Intel® Core™ i7-4770TE Processor ,Intel® Xeon Phi™ Coprocessor 3120A ,Intel® Xeon Phi™ Coprocessor 3120P ,Intel® Xeon Phi™ Coprocessor 7120P ,Intel® Xeon Phi™ Coprocessor 7120X ,Intel® Xeon Phi™ Coprocessor 5120D ,Intel® Core™ i5-4200Y Processor ,Intel® Core™ i3-4010Y Processor ,Intel® Core™ i3-4158U Processor ,Intel® Core™ i5-4258U Processor ,Intel® Core™ i5-4288U Processor ,Intel® Core™ i7-4558U Processor ,Intel® Core™ i7-4950HQ Processor ,Intel® Core™ i7-4850HQ Processor ,Intel® Core™ i7-4750HQ Processor ,Intel® Core™ i7-4960HQ Processor ,Intel® Core™ i5-4400E Processor ,Intel® Core™ i3-4100E Processor ,Intel® Core™ i3-4102E Processor ,Intel® Core™ i5-4402E Processor ,Intel® Core™ i5-4300U Processor ,Intel® Core™ i5-3340 Processor ,Intel® Core™ i5-3340S Processor ,Intel® Celeron® Processor G1630 ,Intel® Celeron® Processor G1620T ,Intel® Core™ i3-4100M Processor ,Intel® Core™ i5-4300M Processor ,Intel® Core™ i5-4200M Processor ,Intel® Core™ i7-4600M Processor ,Intel® Core™ i3-4012Y Processor ,Intel® Core™ i3-4020Y Processor ,Intel® Core™ i5-4202Y Processor ,Intel® Core™ i5-4210Y Processor ,Intel® Core™ i5-4300Y Processor ,Intel® Core™ i5-4302Y Processor ,Intel® Core™ i7-4600U Processor ,Intel® Core™ i7-4610Y Processor ,Intel® Celeron® Processor 2980U ,Intel® Pentium® Processor 3556U ,Intel® Pentium® Processor 3560Y ,Intel® Core™ i5-4570R Processor ,Intel® Core™ i5-4670R Processor ,Intel® Core™ i7-4770R Processor ,Intel® Core™ i5-4330M Processor ,Intel® Celeron® Processor 2950M ,Intel® Pentium® Processor 3550M ,Intel® Core™ i3-4130 Processor ,Intel® Core™ i3-4130T Processor ,Intel® Core™ i7-4771 Processor ,Intel® Core™ i3-4330 Processor ,Intel® Pentium® Processor G3220 ,Intel® Pentium® Processor G3220T ,Intel® Pentium® Processor G3420 ,Intel® Pentium® Processor G3420T ,Intel® Pentium® Processor G3430 ,Intel® Core™ i3-4330TE Processor ,Intel® Pentium® Processor A1018 
Total Threads,2,4,4,2,4,4,4,4,2,4,2,4,2,2,2,2,2,2,2,4,4,4,4,2,12,8,8,4,2,4,2,2,2,2,2,2,8,2,2,2,4,4,4,4,4,4,4,4,8,8,8,4,2,8,16,8,16,8,,2,2,4,4,4,4,2,4,4,4,4,4,2,2,2,4,4,2,2,1,2,4,4,4,4,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,2,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,2,2,2,4,4,4,4,8,8,8,8,8,8,4,8,2,8,,,,,,4,4,4,4,4,4,8,8,8,8,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,4,4,8,4,2,2,4,4,8,4,2,2,2,2,2,4,2
Processor Base Frequency,2.20 GHz,3.00 GHz,2.70 GHz,3.10 GHz,3.40 GHz,3.30 GHz,3.30 GHz,2.80 GHz,2.60 GHz,2.90 GHz,1.50 GHz,3.10 GHz,2.70 GHz,2.90 GHz,1.60 GHz,1.50 GHz,1.90 GHz,2.50 GHz,,,,1.80 GHz,1.40 GHz,,3.50 GHz,2.80 GHz,2.70 GHz,2.20 GHz,3.20 GHz,3.20 GHz,2.50 GHz,2.90 GHz,2.80 GHz,2.60 GHz,2.70 GHz,2.30 GHz,3.00 GHz,2.70 GHz,1.80 GHz,2.40 GHz,3.00 GHz,2.90 GHz,2.70 GHz,2.10 GHz,1.90 GHz,2.00 GHz,1.60 GHz,1.60 GHz,2.20 GHz,2.40 GHz,2.40 GHz,2.50 GHz,1.80 GHz,2.20 GHz,2.53 GHz,2.40 GHz,2.13 GHz,1.73 GHz,,2.10 GHz,1.80 GHz,1.40 GHz,1.50 GHz,1.50 GHz,1.50 GHz,1.10 GHz,2.00 GHz,1.80 GHz,2.60 GHz,1.90 GHz,2.60 GHz,2.50 GHz,1.80 GHz,1.50 GHz,2.60 GHz,1.50 GHz,2.20 GHz,1.40 GHz,1.50 GHz,2.00 GHz,2.30 GHz,3.50 GHz,3.00 GHz,3.40 GHz,3.30 GHz,2.60 GHz,3.00 GHz,2.80 GHz,1.30 GHz,1.40 GHz,3.00 GHz,2.70 GHz,3.10 GHz,2.80 GHz,3.20 GHz,2.90 GHz,2.90 GHz,3.40 GHz,3.40 GHz,3.10 GHz,2.30 GHz,1.10 GHz,3.10 GHz,1.80 GHz,3.30 GHz,3.40 GHz,3.50 GHz,3.60 GHz,1.00 GHz,2.40 GHz,1.70 GHz,1.70 GHz,1.80 GHz,1.50 GHz,1.70 GHz,2.40 GHz,2.40 GHz,2.20 GHz,2.20 GHz,2.00 GHz,3.40 GHz,3.50 GHz,3.10 GHz,2.50 GHz,2.70 GHz,2.80 GHz,3.00 GHz,1.90 GHz,1.60 GHz,1.90 GHz,1.20 GHz,1.60 GHz,1.80 GHz,3.20 GHz,3.40 GHz,2.50 GHz,3.50 GHz,3.60 GHz,3.10 GHz,2.30 GHz,2.70 GHz,2.40 GHz,1.40 GHz,2.30 GHz,,,,,,1.40 GHz,1.30 GHz,2.00 GHz,2.40 GHz,2.60 GHz,2.80 GHz,2.40 GHz,2.30 GHz,2.00 GHz,2.60 GHz,2.70 GHz,2.40 GHz,1.60 GHz,1.60 GHz,1.90 GHz,3.10 GHz,2.80 GHz,2.80 GHz,2.40 GHz,2.50 GHz,2.60 GHz,2.50 GHz,2.90 GHz,1.50 GHz,1.50 GHz,1.60 GHz,1.50 GHz,1.60 GHz,1.60 GHz,2.10 GHz,1.70 GHz,1.60 GHz,1.70 GHz,1.20 GHz,2.70 GHz,3.00 GHz,3.20 GHz,2.80 GHz,2.00 GHz,2.30 GHz,3.40 GHz,2.90 GHz,3.50 GHz,3.50 GHz,3.00 GHz,2.60 GHz,3.20 GHz,2.70 GHz,3.30 GHz,2.40 GHz,2.10 GHz
Cache,2 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,2 MB,6 MB Intel® Smart Cache,2 MB Intel® Smart Cache,3 MB Intel® Smart Cache,2 MB L3 Cache,2 MB L3 Cache,1.5 MB Intel® Smart Cache,3 MB Intel® Smart Cache,512 KB Intel® Smart Cache,1 MB Intel® Smart Cache,1 MB Intel® Smart Cache,1 MB L2 Cache,3 MB Intel® Smart Cache,512 KB Intel® Smart Cache,15 MB Intel® Smart Cache,8 MB Intel® Smart Cache,6 MB Intel® Smart Cache,3 MB,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,8 MB Intel® Smart Cache,3 MB Intel® Smart Cache,2 MB L3 Cache,2 MB Intel® Smart Cache,4 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,4 MB Intel® Smart Cache,3 MB Intel® Smart Cache,1 MB,1 MB,1 MB,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,3 MB Intel® Smart Cache,2 MB Intel® Smart Cache,6 MB Intel® Smart Cache,32 MB,32 MB,24 MB,20 MB,,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,3 MB,3 MB,3 MB,4 MB,2 MB Intel® Smart Cache,4 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,1 MB Intel® Smart Cache,1.5 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,4 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,4 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,2 MB,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,6 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB,2 MB,1 MB Intel® Smart Cache,3 MB Intel® Smart Cache,4 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,4 MB Intel® Smart Cache,6 MB Intel® Smart Cache,2 MB Intel® Smart Cache,8 MB Intel® Smart Cache,,,,,,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,4 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,4 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,6 MB Intel® Smart Cache,3 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,8 MB Intel® Smart Cache,4 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,4 MB Intel® Smart Cache,1 MB Intel® Smart Cache
Bus Speed,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,,,,,5 GT/s,,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,,,,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,6.4 GT/s,6.4 GT/s,6.4 GT/s,6.4 GT/s,,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,,,,,,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s
TDP,35 W,77 W,65 W,55 W,55 W,55 W,55 W,35 W,35 W,35 W,17 W,69 W,65 W,65 W,17 W,17 W,35 W,35 W,,,,,17 W,,150 W,45 W,45 W,35 W,55 W,55 W,35 W,55 W,55 W,55 W,55 W,35 W,55 W,35 W,35 W,35 W,35 W,35 W,35 W,17 W,17 W,8.5 W,6.1 W,8.1 W,35 W,45 W,45 W,35 W,17 W,35 W,170 W,170 W,170 W,130 W,,35 W,17 W,13 W,13 W,13 W,13 W,10 W,17 W,17 W,35 W,17 W,35 W,35 W,35 W,17 W,35 W,17 W,35 W,17 W,17 W,35 W,35 W,55 W,35 W,55 W,55 W,35 W,55 W,47 W,15 W,15 W,84 W,65 W,84 W,65 W,84 W,65 W,35 W,84 W,84 W,65 W,45 W,13 W,80 W,25 W,80 W,80 W,80 W,82 W,10 W,37 W,15 W,15 W,15 W,15 W,15 W,47 W,47 W,37 W,37 W,35 W,84 W,84 W,65 W,45 W,47 W,47 W,57 W,17 W,17 W,35 W,,15 W,15 W,84 W,84 W,45 W,84 W,84 W,65 W,45 W,35 W,47 W,15 W,45 W,,,,,,11.5 W,11.5 W,28 W,28 W,28 W,28 W,47 W,47 W,47 W,47 W,37 W,37 W,25 W,25 W,15 W,77 W,65 W,55 W,35 W,37 W,37 W,37 W,37 W,11.5 W,11.5 W,11.5 W,11.5 W,11.5 W,11.5 W,15 W,11.5 W,15 W,15 W,11.5 W,65 W,65 W,65 W,37 W,37 W,37 W,54 W,35 W,84 W,54 W,53 W,35 W,53 W,35 W,53 W,35 W,35 W
Max Turbo Frequency,,3.20 GHz,3.20 GHz,,,,,,,,,3.30 GHz,,,,,,,,,,,,,4.00 GHz,3.80 GHz,3.70 GHz,,,,,,,,,,3.90 GHz,,,,3.70 GHz,3.60 GHz,3.40 GHz,3.30 GHz,2.90 GHz,,,,3.20 GHz,3.40 GHz,3.40 GHz,,,3.20 GHz,,,,,,,,,2.00 GHz,2.30 GHz,2.60 GHz,,3.10 GHz,2.70 GHz,3.20 GHz,,,,,,3.20 GHz,,,,,,,,,,,,,3.40 GHz,2.60 GHz,2.90 GHz,3.20 GHz,3.20 GHz,3.30 GHz,3.30 GHz,3.60 GHz,3.60 GHz,3.60 GHz,3.80 GHz,3.80 GHz,3.80 GHz,3.30 GHz,1.50 GHz,3.50 GHz,2.80 GHz,3.70 GHz,3.80 GHz,3.90 GHz,4.00 GHz,,,,,,3.00 GHz,3.30 GHz,3.40 GHz,3.40 GHz,3.20 GHz,3.20 GHz,3.00 GHz,3.90 GHz,3.90 GHz,3.90 GHz,3.70 GHz,3.70 GHz,3.80 GHz,3.90 GHz,,,,,2.60 GHz,3.00 GHz,3.60 GHz,3.80 GHz,3.70 GHz,3.90 GHz,4.00 GHz,3.90 GHz,3.30 GHz,3.30 GHz,3.40 GHz,,3.30 GHz,,,,,,1.90 GHz,,,2.90 GHz,3.10 GHz,3.30 GHz,3.60 GHz,3.50 GHz,3.20 GHz,3.80 GHz,3.30 GHz,,,2.70 GHz,2.90 GHz,3.30 GHz,3.30 GHz,,,,3.30 GHz,3.10 GHz,3.60 GHz,,,2.00 GHz,1.90 GHz,2.30 GHz,2.30 GHz,3.30 GHz,2.90 GHz,,,,3.20 GHz,3.70 GHz,3.90 GHz,3.50 GHz,,,,,3.90 GHz,,,,,,,,
Intel® Turbo Boost Technology 2.0 Frequency‡,,3.20 GHz,3.20 GHz,,,,,,,,,3.30 GHz,,,,,,,,,,,,,4.00 GHz,3.80 GHz,3.70 GHz,,,,,,,,,,3.90 GHz,,,,3.70 GHz,3.60 GHz,3.40 GHz,3.30 GHz,2.90 GHz,,,,3.20 GHz,3.40 GHz,3.40 GHz,,,3.20 GHz,,,,,,,,,2.00 GHz,2.30 GHz,2.60 GHz,,3.10 GHz,2.70 GHz,3.20 GHz,,,,,,3.20 GHz,,,,,,,,,,,,,3.40 GHz,2.60 GHz,2.90 GHz,3.20 GHz,3.20 GHz,3.30 GHz,3.30 GHz,3.60 GHz,3.60 GHz,3.60 GHz,3.80 GHz,3.80 GHz,3.80 GHz,3.30 GHz,1.50 GHz,3.50 GHz,2.80 GHz,3.70 GHz,3.80 GHz,3.90 GHz,4.00 GHz,,,,,,3.00 GHz,3.30 GHz,3.40 GHz,3.40 GHz,3.20 GHz,3.20 GHz,3.00 GHz,3.90 GHz,3.90 GHz,3.90 GHz,3.70 GHz,3.70 GHz,3.80 GHz,3.90 GHz,,,,,2.60 GHz,3.00 GHz,3.60 GHz,3.80 GHz,3.70 GHz,3.90 GHz,4.00 GHz,3.90 GHz,3.30 GHz,3.30 GHz,3.40 GHz,,3.30 GHz,,,,,,1.90 GHz,,,2.90 GHz,3.10 GHz,3.30 GHz,3.60 GHz,3.50 GHz,3.20 GHz,3.80 GHz,3.30 GHz,,,2.70 GHz,2.90 GHz,3.30 GHz,3.30 GHz,,,,3.30 GHz,3.10 GHz,3.60 GHz,,,2.00 GHz,1.90 GHz,2.30 GHz,2.30 GHz,3.30 GHz,2.90 GHz,,,,3.20 GHz,3.70 GHz,3.90 GHz,3.50 GHz,,,,,3.90 GHz,,,,,,,,
Burst Frequency,,,,,,,,,,,,,,,,,,,2.00 GHz,2.00 GHz,1.60 GHz,,,1.20 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario Design Power (SDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 W,7 W,7 W,7 W,7 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 W,6 W,,,,,,,,,,,,,,,,,,,,,,4.5 W,6 W,4.5 W,6 W,6 W,4.5 W,,6 W,,,6 W,,,,,,,,,,,,,,,,,
# of QPI Links,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,

Supplemental Information
