ARK | Intel® Product Specification Comparison
01/10/2026 12:05:48 AM
 ,Intel® Xeon® 6718P-B Processor ,Intel® Xeon® 6518P-B Processor ,Intel® Core™ Ultra 7 Processor 365 ,Intel® Core™ Ultra 5 Processor 322 ,Intel® Core™ Ultra 5 Processor 332 ,Intel® Core™ Ultra 5 Processor 325 ,Intel® Core™ Ultra 7 Processor 355 ,Intel® Core™ Ultra 5 Processor 335 ,Intel® Xeon® 6768P-B Processor ,Intel® Xeon® 6718P-B Processor ,Intel® Xeon® 6518P-B Processor ,Intel® Core™ Ultra 7 Processor 365 ,Intel® Core™ Ultra 5 Processor 322 ,Intel® Core™ Ultra 5 Processor 332 ,Intel® Core™ Ultra 5 Processor 325 ,Intel® Core™ Ultra 7 Processor 355 ,Intel® Core™ Ultra 5 Processor 335 ,Intel® Xeon® 6768P-B Processor 
Intel® Deep Learning Boost (Intel® DL Boost) on CPU,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
# of Efficiency-cores,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,
# of Low Power Efficient-cores,,,4,4,4,4,4,4,,,,4,4,4,4,4,4,
Intel® Turbo Boost Max Technology 3.0 Frequency ‡,,,4.8 GHz,4.4 GHz,4.4 GHz,4.5 GHz,4.7 GHz,4.6 GHz,,,,4.8 GHz,4.4 GHz,4.4 GHz,4.5 GHz,4.7 GHz,4.6 GHz,
Single P-core Turbo Frequency,,,4.8 GHz,4.4 GHz,4.4 GHz,4.5 GHz,4.7 GHz,4.6 GHz,,,,4.8 GHz,4.4 GHz,4.4 GHz,4.5 GHz,4.7 GHz,4.6 GHz,
Low Power Efficient-core Max Turbo Frequency,,,3.6 GHz,3.3 GHz,3.3 GHz,3.4 GHz,3.5 GHz,3.4 GHz,,,,3.6 GHz,3.3 GHz,3.3 GHz,3.4 GHz,3.5 GHz,3.4 GHz,
P-core Base Frequency,,,2.4 GHz,2.5 GHz,2.5 GHz,2.1 GHz,2.3 GHz,2.2 GHz,,,,2.4 GHz,2.5 GHz,2.5 GHz,2.1 GHz,2.3 GHz,2.2 GHz,
E-core Base Frequency,,,1.8 GHz,1.9 GHz,1.9 GHz,1.6 GHz,1.7 GHz,1.6 GHz,,,,1.8 GHz,1.9 GHz,1.9 GHz,1.6 GHz,1.7 GHz,1.6 GHz,
Low Power Efficient-core Base Frequency,,,1.8 GHz,1.9 GHz,1.9 GHz,1.6 GHz,1.7 GHz,1.6 GHz,,,,1.8 GHz,1.9 GHz,1.9 GHz,1.6 GHz,1.7 GHz,1.6 GHz,
Processor Base Power,,,25 W,25 W,25 W,25 W,25 W,25 W,,,,25 W,25 W,25 W,25 W,25 W,25 W,
Maximum Turbo Power,,,55 W,55 W,55 W,55 W,55 W,55 W,,,,55 W,55 W,55 W,55 W,55 W,55 W,
Minimum Assured Power,,,12 W,12 W,12 W,12 W,12 W,12 W,,,,12 W,12 W,12 W,12 W,12 W,12 W,
AI Software Frameworks Supported by CPU,,,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,,,,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,
CPU Lithography,,,Intel 18A,Intel 18A,Intel 18A,Intel 18A,Intel 18A,Intel 18A,,,,Intel 18A,Intel 18A,Intel 18A,Intel 18A,Intel 18A,Intel 18A,
All Core Turbo Frequency,,,,,,,,,3.3 GHz,,,,,,,,,3.3 GHz

Supplemental Information
Marketing Status,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched
Launch Date,Q4'25,Q4'25,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q4'25,Q4'25,Q4'25,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q4'25
Servicing Status,Baseline Servicing,Baseline Servicing,,,,,,,Baseline Servicing,Baseline Servicing,Baseline Servicing,,,,,,,Baseline Servicing
Embedded Options Available,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes
Use Conditions,Communications Commercial Temp,Communications Extended Temp,,,,,,,Communications Commercial Temp,Communications Commercial Temp,Communications Extended Temp,,,,,,,Communications Commercial Temp
Description,,,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,,,,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,

Memory Specifications
Max Memory Size (dependent on memory type),1.13 TB,1.13 TB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,2.25 TB,1.13 TB,1.13 TB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,2.25 TB
Memory Types,DDR5,DDR5,Up to LPDDR5X 7467 MT/s 
Up to DDR5 6400 MT/s,Up to LPDDR5X 7467 MT/s 
Up to DDR5 6400 MT/s,Up to LPDDR5X 7467 MT/s 
Up to DDR5 6400 MT/s,Up to LPDDR5X 7467 MT/s 
Up to DDR5 6400 MT/s,Up to LPDDR5X 7467 MT/s 
Up to DDR5 6400 MT/s,Up to LPDDR5X 7467 MT/s Up to DDR5 6400 MT/s,DDR5,DDR5,DDR5,Up to LPDDR5X 7467 MT/s 
Up to DDR5 6400 MT/s,Up to LPDDR5X 7467 MT/s 
Up to DDR5 6400 MT/s,Up to LPDDR5X 7467 MT/s 
Up to DDR5 6400 MT/s,Up to LPDDR5X 7467 MT/s 
Up to DDR5 6400 MT/s,Up to LPDDR5X 7467 MT/s 
Up to DDR5 6400 MT/s,Up to LPDDR5X 7467 MT/s Up to DDR5 6400 MT/s,DDR5
Maximum Memory Speed,6400 MT/s,4800 MT/s,,,,,,,6400 MHz,6400 MT/s,4800 MT/s,,,,,,,6400 MHz
Max # of Memory Channels,4,4,2,2,2,2,2,2,8,4,4,2,2,2,2,2,2,8
Intel® Optane™ Persistent Memory Supported,No,No,,,,,,,No,No,No,,,,,,,No
ECC Memory Supported   ‡,Yes,Yes,,,,,,,Yes,Yes,Yes,,,,,,,Yes

Expansion Options
Scalability,1S Only,1S Only,,,,,,,1S Only,1S Only,1S Only,,,,,,,1S Only
PCI Express Revision,Gen 4 |  Gen 5,Gen 4 |  Gen 5,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,Gen4 |  Gen5,Gen 4 |  Gen 5,Gen 4 |  Gen 5,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,Gen4 |  Gen5
PCI Express Configurations ‡,32 Lanes Gen 5; 16 Lanes Gen 4,32 Lanes Gen 5; 16 Lanes Gen 4,x4 PCIe5 (1x4 | 2x2) | 
x4 PCIe4 (1x4 |  2x2 |  4x1)
x4 PCIe4 (1x4 |  2x2 |  4x1),x4 PCIe5 (1x4 | 2x2) | 
x4 PCIe4 (1x4 |  2x2 |  4x1)
x4 PCIe4 (1x4 |  2x2 |  4x1),x4 PCIe5 (1x4 | 2x2) | 
x4 PCIe4 (1x4 |  2x2 |  4x1)
x4 PCIe4 (1x4 |  2x2 |  4x1),x4 PCIe5 (1x4 | 2x2) | 
x4 PCIe4 (1x4 |  2x2 |  4x1)
x4 PCIe4 (1x4 |  2x2 |  4x1),x4 PCIe5 (1x4 | 2x2) | 
x4 PCIe4 (1x4 |  2x2 |  4x1)
x4 PCIe4 (1x4 |  2x2 |  4x1),x4 PCIe5 (1x4 | 2x2) | x4 PCIe4 (1x4 |  2x2 |  4x1)x4 PCIe4 (1x4 |  2x2 |  4x1),32 Lanes Gen 5; 16 Lanes Gen 4,32 Lanes Gen 5; 16 Lanes Gen 4,32 Lanes Gen 5; 16 Lanes Gen 4,x4 PCIe5 (1x4 | 2x2) | 
x4 PCIe4 (1x4 |  2x2 |  4x1)
x4 PCIe4 (1x4 |  2x2 |  4x1),x4 PCIe5 (1x4 | 2x2) | 
x4 PCIe4 (1x4 |  2x2 |  4x1)
x4 PCIe4 (1x4 |  2x2 |  4x1),x4 PCIe5 (1x4 | 2x2) | 
x4 PCIe4 (1x4 |  2x2 |  4x1)
x4 PCIe4 (1x4 |  2x2 |  4x1),x4 PCIe5 (1x4 | 2x2) | 
x4 PCIe4 (1x4 |  2x2 |  4x1)
x4 PCIe4 (1x4 |  2x2 |  4x1),x4 PCIe5 (1x4 | 2x2) | 
x4 PCIe4 (1x4 |  2x2 |  4x1)
x4 PCIe4 (1x4 |  2x2 |  4x1),x4 PCIe5 (1x4 | 2x2) | x4 PCIe4 (1x4 |  2x2 |  4x1)x4 PCIe4 (1x4 |  2x2 |  4x1),32 Lanes Gen 5; 16 Lanes Gen 4
Max # of PCI Express Lanes,48,48,12,12,12,12,12,12,48,48,48,12,12,12,12,12,12,48
Intel® Thunderbolt™ 4,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,

I/O Specifications
Integrated LAN,Yes,Yes,,,,,,,Yes,Yes,Yes,,,,,,,Yes

Package Specifications
TCASE,85,85,,,,,,,85,85,85,,,,,,,85
Package Size,77.5mm x 50mm,77.5mm x 50mm,50mm x 25mm,50mm x 25mm,50mm x 25mm,50mm x 25mm,50mm x 25mm,50mm x 25mm,77.5 mm x 56.5 mm,77.5mm x 50mm,77.5mm x 50mm,50mm x 25mm,50mm x 25mm,50mm x 25mm,50mm x 25mm,50mm x 25mm,50mm x 25mm,77.5 mm x 56.5 mm
Sockets Supported,,,FCBGA2540,FCBGA2540,FCBGA2540,FCBGA2540,FCBGA2540,FCBGA2540,FCBGA5026,,,FCBGA2540,FCBGA2540,FCBGA2540,FCBGA2540,FCBGA2540,FCBGA2540,FCBGA5026
Operating Temperature (Maximum),,,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,,,,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,

Advanced Technologies
Intel® Media Transcode Accelerator,Yes,No,,,,,,,Yes,Yes,No,,,,,,,Yes
Intel® vRAN Boost,Yes,Yes,,,,,,,Yes,Yes,Yes,,,,,,,Yes
Intel® QuickAssist Technology (QAT),1 default devices,1 default devices,,,,,,,2 default devices,1 default devices,1 default devices,,,,,,,2 default devices
Intel® Dynamic Load Balancer (DLB),1 default devices,1 default devices,,,,,,,1 default devices,1 default devices,1 default devices,,,,,,,1 default devices
Intel® Data Streaming Accelerator (DSA),1 default devices,1 default devices,,,,,,,1 default devices,1 default devices,1 default devices,,,,,,,1 default devices
Intel® In-memory Analytics Accelerator (IAA),0 default devices,0 default devices,,,,,,,0 default devices,0 default devices,0 default devices,,,,,,,0 default devices
Intel® Advanced Matrix Extensions (AMX),Yes,Yes,,,,,,,Yes,Yes,Yes,,,,,,,Yes
Intel® Speed Select Technology – Core Power,No,No,,,,,,,No,No,No,,,,,,,No
Intel® Speed Select Technology – Turbo Frequency,No,No,,,,,,,No,No,No,,,,,,,No
Intel® Speed Select Technology - Performance Profile,Yes,No,,,,,,,Yes,Yes,No,,,,,,,Yes
Intel® Speed Select Technology - Base Frequency,No,No,,,,,,,No,No,No,,,,,,,No
Intel® Resource Director Technology (Intel® RDT),Yes,Yes,,,,,,,Yes,Yes,Yes,,,,,,,Yes
Intel® Optane™ Memory Supported ‡,No,No,,,,,,,No,No,No,,,,,,,No
Intel® Turbo Boost Technology ‡,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Intel® Hyper-Threading Technology ‡,Yes,Yes,,,,,,,Yes,Yes,Yes,,,,,,,Yes
Intel® 64 ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Instruction Set,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit
Instruction Set Extensions,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512 |  Intel® AMX,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512 |  Intel® AMX
# of AVX-512 FMA Units,2,2,,,,,,,2,2,2,,,,,,,2
Integrated Intel® QuickAssist Technology,Yes,Yes,,,,,,,Yes,Yes,Yes,,,,,,,Yes
Intel® Volume Management Device (VMD),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Thread Director,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,
Intel® Smart Sound Technology,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,
Intel® Wake on Voice,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,
Intel® High Definition Audio,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,
Intel® Adaptix™ Technology,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,
Intel® Speed Shift Technology,,,Yes,Yes,Yes,Yes,Yes,Yes,No,,,Yes,Yes,Yes,Yes,Yes,Yes,No
Intel® Turbo Boost Max Technology 3.0 ‡,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,
Enhanced Intel SpeedStep® Technology,,,Yes,Yes,Yes,Yes,Yes,Yes,No,,,Yes,Yes,Yes,Yes,Yes,Yes,No
Thermal Monitoring Technologies,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,

Security & Reliability
Intel® Trust Domain Extensions (Intel® TDX),Yes,Yes,,,,,,,Yes,Yes,Yes,,,,,,,Yes
Intel® QuickAssist Software Acceleration,Yes,Yes,,,,,,,Yes,Yes,Yes,,,,,,,Yes
Intel® Total Memory Encryption - Multi Key,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes
Intel® Total Memory Encryption,Yes,Yes,,,,,,,Yes,Yes,Yes,,,,,,,Yes
Intel® AES New Instructions,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Software Guard Extensions (Intel® SGX),Yes with Intel® SPS,Yes with Intel® SPS,,,,,,,Yes with Intel® SPS,Yes with Intel® SPS,Yes with Intel® SPS,,,,,,,Yes with Intel® SPS
Intel® Trusted Execution Technology ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Execute Disable Bit ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Boot Guard,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Run Sure Technology,Yes,Yes,,,,,,,Yes,Yes,Yes,,,,,,,Yes
Mode-based Execute Control (MBEC),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Platform Firmware Resilience Support,Yes,Yes,,,,,,,Yes,Yes,Yes,,,,,,,Yes
Default Maximum Enclave Page Cache (EPC) Size for Intel® SGX,512 GB,512 GB,,,,,,,512 GB,512 GB,512 GB,,,,,,,512 GB
Intel® Crypto Acceleration,Yes,Yes,,,,,,,Yes,Yes,Yes,,,,,,,Yes
Intel® Virtualization Technology (VT-x) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® VT-x with Extended Page Tables (EPT) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel vPro® Eligibility ‡,,,Intel vPro® Platform,,Intel vPro® Platform,,,Intel vPro® Platform,,,,Intel vPro® Platform,,Intel vPro® Platform,,,Intel vPro® Platform,
Intel® Threat Detection Technology (TDT),,,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,
Intel® Active Management Technology (AMT) ‡,,,Yes,No,Yes,No,No,Yes,,,,Yes,No,Yes,No,No,Yes,
Intel® Standard Manageability (ISM) ‡,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,
Intel® Remote Platform Erase (RPE) ‡,,,Yes,No,Yes,No,No,Yes,,,,Yes,No,Yes,No,No,Yes,
Intel® One-Click Recovery ‡,,,Yes,No,Yes,No,No,Yes,,,,Yes,No,Yes,No,No,Yes,
Intel® Secure Key,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,
Intel® Control-Flow Enforcement Technology,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,
Intel® OS Guard,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,
Intel® Stable Image Platform Program (SIPP),,,Yes,No,Yes,No,No,Yes,,,,Yes,No,Yes,No,No,Yes,
Intel® Virtualization Technology with Redirect Protection (VT-rp) ‡,,,Yes,No,Yes,No,No,Yes,,,,Yes,No,Yes,No,No,Yes,

GPU Specifications
GPU Name ‡,,,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,,,,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,
Graphics Max Dynamic Frequency,,,2.5 GHz,2.3 GHz,2.3 GHz,2.45 GHz,2.5 GHz,2.45 GHz,,,,2.5 GHz,2.3 GHz,2.3 GHz,2.45 GHz,2.5 GHz,2.45 GHz,
GPU Peak TOPS (Int8),,,40,18,18,40,40,40,,,,40,18,18,40,40,40,
