ARK | Intel® Product Specification Comparison
01/25/2024 11:25:01 AM
 ,Intel® Core™ i7-860S Processor ,Intel® Celeron® Processor T3500 ,Intel® Celeron® Processor E3500 ,Intel® Pentium® Processor E5500 ,Intel® Pentium® Processor E5700 ,Intel® Pentium® Processor E5800 ,Intel® Pentium® Processor E6700 ,Intel® Pentium® Processor E6800 ,Intel® Core™ i5-750S Processor ,Intel® Pentium® Processor T4500 ,Intel Atom® Processor D510 ,Intel® Core™ i7-840QM Processor ,Intel® Core™ i7-940XM Processor Extreme Edition ,Intel® Pentium® Processor G6950 ,Intel® Itanium® Processor 9310 ,Intel® Itanium® Processor 9320 ,Intel® Itanium® Processor 9340 ,Intel® Itanium® Processor 9350 ,Intel Atom® Processor D410 ,Intel® Core™ i3-350M Processor ,Intel® Core™ i5-430M Processor ,Intel® Core™ i5-540M Processor ,Intel® Core™ i5-650 Processor ,Intel® Core™ i5-660 Processor ,Intel® Core™ i5-661 Processor ,Intel® Core™ i5-670 Processor ,Intel® Core™ i7-620LM Processor ,Intel® Core™ i7-620M Processor ,Intel® Core™ i7-620UM Processor ,Intel® Core™ i7-640LM Processor ,Intel® Core™ i3-530 Processor ,Intel® Core™ i3-540 Processor ,Intel® Pentium® Processor G6960 ,Intel® Core™ i5-520M Processor ,Intel® Celeron® Processor P4500 ,Intel® Core™ i5-520UM Processor ,Intel® Xeon® Processor L3406 ,Intel® Xeon® Processor EC5509 ,Intel® Xeon® Processor LC5518 ,Intel® Celeron® Processor P1053 ,Intel® Core™ i3-330M Processor ,Intel® Core™ i7-640UM Processor ,Intel® Xeon® Processor X5680 ,Intel® Xeon® Processor W3680 ,Intel® Xeon® Processor W3670 ,Intel® Xeon® Processor X5667 ,Intel® Xeon® Processor X5670 ,Intel® Xeon® Processor X5660 ,Intel® Xeon® Processor X5650 ,Intel® Xeon® Processor E5640 ,Intel® Xeon® Processor E5630 ,Intel® Xeon® Processor E5620 ,Intel® Xeon® Processor L5640 ,Intel® Xeon® Processor L5630 ,Intel® Xeon® Processor L5609 ,Intel® Xeon® Processor X5677 ,Intel® Core™ i7-980X Processor Extreme Edition ,Intel® Core™ i7-970 Processor ,Intel® Core™ i7-620LE Processor ,Intel® Core™ i7-620UE Processor ,Intel® Core™ i5-520E Processor ,Intel® Core™ i7-610E Processor ,Intel® Core™ i3-330E Processor ,Intel® Celeron® Processor P4505 ,Intel® Core™ i5-760 Processor ,Intel® Core™ i7-870S Processor ,Intel® Core™ i7-875K Processor ,Intel® Core™ i7-880 Processor ,Intel® Xeon® Processor X3480 ,Intel® Core™ i5-680 Processor ,Intel® Core™ i3-550 Processor ,Intel® Core™ i5-655K Processor ,Intel® Xeon® Processor L5638 ,Intel® Xeon® Processor L5618 ,Intel® Xeon® Processor E5645 ,Intel® Core™ i3-370M Processor ,Intel® Core™ i3-330UM Processor ,Intel® Core™ i5-450M Processor ,Intel® Core™ i5-430UM Processor ,Intel® Core™ i7-740QM Processor ,Intel® Pentium® Processor P6000 ,Intel® Pentium® Processor U5400 ,Intel® Celeron® Processor U3400 ,Intel® Core™ i7-660UM Processor ,Intel® Core™ i5-540UM Processor ,Intel Atom® Processor D425 ,Intel Atom® Processor D525 ,Intel Atom® Processor N455 ,Intel Atom® Processor N475 ,Intel® Core™ i5-580M Processor ,Intel® Core™ i5-560M Processor ,Intel® Core™ i7-660LM Processor ,Intel® Core™ i7-680UM Processor ,Intel® Core™ i5-560UM Processor ,Intel® Core™ i7-640M Processor ,Intel Atom® Processor Z560 ,Intel® Core™ i5-470UM Processor ,Intel® Core™ i3-380UM Processor ,Intel® Pentium® Processor U5600 ,Intel® Celeron® Processor U3600 ,Intel® Core™ i7-2720QM Processor ,Intel® Core™ i5-2540M Processor ,Intel Atom® Processor N550 ,Intel® Pentium® Processor P6100 ,Intel® Pentium® Processor P6200 ,Intel® Core™ i3-560 Processor ,Intel® Core™ i3-380M Processor ,Intel® Core™ i5-460M Processor ,Intel® Pentium® Processor P6300 ,Intel® Core™ i5-2300 Processor ,Intel® Core™ i5-2400 Processor ,Intel® Core™ i5-2400S Processor ,Intel® Core™ i5-2500 Processor ,Intel® Core™ i5-2500K Processor ,Intel® Core™ i5-2500S Processor ,Intel® Core™ i5-2500T Processor ,Intel® Core™ i7-2600 Processor ,Intel® Core™ i7-2600K Processor ,Intel® Core™ i7-2600S Processor ,Intel® Core™ i7-2630QM Processor ,Intel® Core™ i3-2310M Processor ,Intel® Core™ i5-2410M Processor ,Intel® Core™ i7-2820QM Processor ,Intel® Core™ i5-2520M Processor ,Intel® Core™ i7-2620M Processor ,Intel® Core™ i7-2920XM Processor Extreme Edition ,Intel® Celeron® Processor P4600 ,Intel Atom® Processor E620 ,Intel Atom® Processor E620T ,Intel Atom® Processor E640 ,Intel Atom® Processor E640T ,Intel Atom® Processor E660 ,Intel Atom® Processor E660T ,Intel Atom® Processor E680 ,Intel Atom® Processor E680T ,Intel® Xeon® Processor X5690 ,Intel® Xeon® Processor X5675 ,Intel® Xeon® Processor X5687 ,Intel® Xeon® Processor X5672 ,Intel® Xeon® Processor X5647 ,Intel® Xeon® Processor E5649 ,Intel® Xeon® Processor E5607 ,Intel® Xeon® Processor E5606 ,Intel® Xeon® Processor E5603 ,Intel® Core™ i7-990X Processor Extreme Edition ,Intel® Xeon® Processor W3690 ,Intel® Core™ i5-480M Processor ,Intel® Core™ i3-390M Processor ,Intel® Xeon® Processor E3-1220L ,Intel® Core™ i3-2100 Processor ,Intel® Core™ i3-2100T Processor ,Intel® Core™ i3-2102 Processor ,Intel® Core™ i3-2120 Processor ,Intel® Core™ i3-2312M Processor ,Intel® Core™ i5-2390T Processor ,Intel® Core™ i5-2510E Processor ,Intel® Core™ i7-2635QM Processor ,Intel® Core™ i7-2710QE Processor ,Intel® Pentium® Processor G620 ,Intel® Pentium® Processor G620T ,Intel® Pentium® Processor G622 ,Intel® Pentium® Processor G840 ,Intel® Pentium® Processor G850 ,Intel® Xeon® Processor E7-2803 ,Intel® Xeon® Processor E7-4807 ,Intel® Xeon® Processor E7-2860 ,Intel® Xeon® Processor E7-4860 ,Intel® Xeon® Processor E7-8860 ,Intel® Xeon® Processor E7-2850 ,Intel® Xeon® Processor E7-4850 ,Intel® Xeon® Processor E7-8850 ,Intel® Xeon® Processor E7-8837 ,Intel® Xeon® Processor E7-8867L ,Intel® Xeon® Processor E7-2870 ,Intel® Xeon® Processor E7-4870 ,Intel® Xeon® Processor E7-8870 ,Intel® Xeon® Processor E7-2820 ,Intel® Xeon® Processor E7-2830 ,Intel® Xeon® Processor E7-4820 ,Intel® Xeon® Processor E7-4830 ,Intel® Xeon® Processor E7-8830 ,Intel® Celeron® Processor ULV 763 ,Intel® Celeron® Processor 925 ,Intel Atom® Processor E645C ,Intel Atom® Processor E645CT ,Intel Atom® Processor E665C ,Intel Atom® Processor E665CT ,Intel® Core™ i7-2629M Processor ,Intel® Core™ i7-2649M Processor ,Intel® Core™ i7-2657M Processor ,Intel® Core™ i7-2617M Processor ,Intel® Core™ i5-2537M Processor ,Intel® Core™ i7-2655LE Processor ,Intel® Core™ i3-2310E Processor ,Intel® Core™ i7-2715QE Processor ,Intel® Core™ i7-2610UE Processor ,Intel® Core™ i5-2515E Processor ,Intel® Core™ i3-2105 Processor ,Intel Atom® Processor N570 ,Intel® Celeron® Processor B810 
Total Threads,8,,,,,,,,4,,4,8,8,2,4,8,8,8,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,4,4,4,8,2,4,4,12,12,12,8,12,12,12,8,8,8,12,8,4,8,12,12,4,4,4,4,4,2,4,8,8,8,8,4,4,4,12,8,12,4,4,4,4,8,2,2,2,4,4,2,4,2,2,4,4,4,4,4,4,,4,4,2,2,8,4,4,2,2,4,4,4,2,4,4,4,4,4,4,4,8,8,8,8,4,4,8,4,4,8,2,2,2,2,2,2,2,2,2,12,12,8,8,8,12,4,4,4,12,12,4,4,4,4,4,4,4,4,4,4,8,8,2,2,2,2,2,12,12,20,20,20,20,20,20,8,20,20,20,20,16,16,16,16,16,,,2,2,2,2,4,4,4,4,4,4,4,8,4,4,4,4,2
Max Turbo Frequency,3.46 GHz,,,,,,,,3.20 GHz,,,3.20 GHz,3.33 GHz,,,1.47 GHz,1.73 GHz,1.87 GHz,,,2.53 GHz,3.07 GHz,3.46 GHz,3.60 GHz,3.60 GHz,3.73 GHz,2.80 GHz,3.33 GHz,2.13 GHz,2.93 GHz,,,,2.93 GHz,,1.87 GHz,2.53 GHz,,2.13 GHz,,,2.27 GHz,3.60 GHz,3.60 GHz,3.46 GHz,3.46 GHz,3.33 GHz,3.20 GHz,3.06 GHz,2.93 GHz,2.80 GHz,2.66 GHz,2.80 GHz,2.40 GHz,1.86 GHz,3.73 GHz,3.60 GHz,3.46 GHz,2.80 GHz,2.13 GHz,2.93 GHz,3.20 GHz,,,3.33 GHz,3.60 GHz,3.60 GHz,3.73 GHz,3.73 GHz,3.86 GHz,,3.46 GHz,2.40 GHz,2.26 GHz,2.67 GHz,,,2.66 GHz,1.73 GHz,2.93 GHz,,,,2.40 GHz,2.00 GHz,,,,,3.33 GHz,3.20 GHz,3.06 GHz,2.53 GHz,2.13 GHz,3.46 GHz,,1.86 GHz,,,,3.30 GHz,3.30 GHz,,,,,,2.80 GHz,,3.10 GHz,3.40 GHz,3.30 GHz,3.70 GHz,3.70 GHz,3.70 GHz,3.30 GHz,3.80 GHz,3.80 GHz,3.80 GHz,2.90 GHz,,2.90 GHz,3.40 GHz,3.20 GHz,3.40 GHz,3.50 GHz,,,,,,,,,,3.73 GHz,3.46 GHz,3.86 GHz,3.60 GHz,3.20 GHz,2.93 GHz,,,,3.73 GHz,3.73 GHz,2.93 GHz,,3.40 GHz,,,,,,3.50 GHz,3.10 GHz,2.90 GHz,3.00 GHz,,,,,,,,2.67 GHz,2.67 GHz,2.67 GHz,2.40 GHz,2.40 GHz,2.40 GHz,2.80 GHz,2.53 GHz,2.80 GHz,2.80 GHz,2.80 GHz,2.27 GHz,2.40 GHz,2.27 GHz,2.40 GHz,2.40 GHz,,,,,,,3.00 GHz,3.20 GHz,2.70 GHz,2.60 GHz,2.30 GHz,2.90 GHz,,3.00 GHz,2.40 GHz,3.10 GHz,,,
Processor Base Frequency,2.53 GHz,,,,,,,,2.40 GHz,,1.66 GHz,1.86 GHz,2.13 GHz,2.80 GHz,1.60 GHz,1.33 GHz,1.60 GHz,1.73 GHz,1.66 GHz,2.26 GHz,2.26 GHz,2.53 GHz,3.20 GHz,3.33 GHz,3.33 GHz,3.46 GHz,2.00 GHz,2.66 GHz,1.06 GHz,2.13 GHz,2.93 GHz,3.06 GHz,2.93 GHz,2.40 GHz,1.86 GHz,1.07 GHz,2.26 GHz,2.00 GHz,1.73 GHz,1.33 GHz,2.13 GHz,1.20 GHz,3.33 GHz,3.33 GHz,3.20 GHz,3.06 GHz,2.93 GHz,2.80 GHz,2.66 GHz,2.66 GHz,2.53 GHz,2.40 GHz,2.26 GHz,2.13 GHz,1.86 GHz,3.46 GHz,3.33 GHz,3.20 GHz,2.00 GHz,1.06 GHz,2.40 GHz,2.53 GHz,2.13 GHz,1.86 GHz,2.80 GHz,2.66 GHz,2.93 GHz,3.06 GHz,3.06 GHz,3.60 GHz,3.20 GHz,3.20 GHz,2.00 GHz,1.87 GHz,2.40 GHz,2.40 GHz,1.20 GHz,2.40 GHz,1.20 GHz,1.73 GHz,1.86 GHz,1.20 GHz,1.06 GHz,1.33 GHz,1.20 GHz,1.80 GHz,1.80 GHz,1.66 GHz,1.83 GHz,2.66 GHz,2.66 GHz,2.26 GHz,1.46 GHz,1.33 GHz,2.80 GHz,,1.33 GHz,1.33 GHz,1.33 GHz,1.20 GHz,2.20 GHz,2.60 GHz,1.50 GHz,2.00 GHz,2.13 GHz,3.33 GHz,2.53 GHz,2.53 GHz,2.27 GHz,2.80 GHz,3.10 GHz,2.50 GHz,3.30 GHz,3.30 GHz,2.70 GHz,2.30 GHz,3.40 GHz,3.40 GHz,2.80 GHz,2.00 GHz,2.10 GHz,2.30 GHz,2.30 GHz,2.50 GHz,2.70 GHz,2.50 GHz,2.00 GHz,600 MHz,600 MHz,1.00 GHz,1.00 GHz,1.30 GHz,1.30 GHz,1.60 GHz,1.60 GHz,3.46 GHz,3.06 GHz,3.60 GHz,3.20 GHz,2.93 GHz,2.53 GHz,2.26 GHz,2.13 GHz,1.60 GHz,3.46 GHz,3.46 GHz,2.66 GHz,2.66 GHz,2.20 GHz,3.10 GHz,2.50 GHz,3.10 GHz,3.30 GHz,2.10 GHz,2.70 GHz,2.50 GHz,2.00 GHz,2.10 GHz,2.60 GHz,2.20 GHz,2.60 GHz,2.80 GHz,2.90 GHz,1.73 GHz,1.86 GHz,2.26 GHz,2.26 GHz,2.26 GHz,2.00 GHz,2.00 GHz,2.00 GHz,2.66 GHz,2.13 GHz,2.40 GHz,2.40 GHz,2.40 GHz,2.00 GHz,2.13 GHz,2.00 GHz,2.13 GHz,2.13 GHz,,,1.00 GHz,1.00 GHz,1.30 GHz,1.30 GHz,2.10 GHz,2.30 GHz,1.60 GHz,1.50 GHz,1.40 GHz,2.20 GHz,2.10 GHz,2.10 GHz,1.50 GHz,2.50 GHz,3.10 GHz,1.66 GHz,1.60 GHz
Cache,8 MB Intel® Smart Cache,,,,,,,,8 MB Intel® Smart Cache,,1 MB L2 Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,3 MB Intel® Smart Cache,10 MB L3 Cache,16 MB L3 Cache,20 MB L3 Cache,24 MB L3 Cache,512 KB L2 Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,2 MB Intel® Smart Cache,3 MB Intel® Smart Cache,4 MB Intel® Smart Cache,8 MB L3 Cache,8 MB L3 Cache,2 MB L3 Cache,3 MB Intel® Smart Cache,4 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,3 MB Intel® Smart Cache,4 MB Intel® Smart Cache,3 MB Intel® Smart Cache,2 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,12 MB,12 MB,12 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,6 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,2 MB Intel® Smart Cache,4 MB Intel® Smart Cache,3 MB Intel® Smart Cache,512 KB L2 Cache,1 MB L2 Cache,512 KB L2 Cache,512 KB L2 Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,3 MB Intel® Smart Cache,4 MB Intel® Smart Cache,,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,2 MB Intel® Smart Cache,6 MB Intel® Smart Cache,3 MB Intel® Smart Cache,1 MB L2 Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,4 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,6 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,8 MB Intel® Smart Cache,3 MB Intel® Smart Cache,4 MB Intel® Smart Cache,8 MB Intel® Smart Cache,2 MB Intel® Smart Cache,512 KB L2 Cache,512 KB L2 Cache,512 KB L2 Cache,512 KB L2 Cache,512 KB L2 Cache,512 KB L2 Cache,512 KB L2 Cache,512 KB L2 Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,4 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,18 MB Intel® Smart Cache,24 MB Intel® Smart Cache,18 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,,,512 KB L2 Cache,512 KB L2 Cache,512 KB L2 Cache,512 KB L2 Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,3 MB Intel® Smart Cache,4 MB Intel® Smart Cache,3 MB Intel® Smart Cache,6 MB Intel® Smart Cache,4 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,1 MB L2 Cache,2 MB Intel® Smart Cache
Bus Speed,2.5 GT/s,,,,,,,,2.5 GT/s,,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,4.8 GT/s,4.8 GT/s,4.8 GT/s,4.8 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,4.8 GT/s,4.8 GT/s,0,2.5 GT/s,2.5 GT/s,6.4 GT/s,6.4 GT/s,4.8 GT/s,6.4 GT/s,6.4 GT/s,6.4 GT/s,6.4 GT/s,5.86 GT/s,5.86 GT/s,5.86 GT/s,5.86 GT/s,5.86 GT/s,4.8 GT/s,6.4 GT/s,6.4 GT/s,4.8 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,5.86 GT/s,5.86 GT/s,5.86 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,5 GT/s,5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,,2.5 GT/s,2500 MHz,2500 MHz,2500 MHz,2500 MHz,2500 MHz,2500 MHz,2500 MHz,2500 MHz,6.4 GT/s,6.4 GT/s,6.4 GT/s,6.4 GT/s,5.86 GT/s,5.86 GT/s,4.8 GT/s,4.8 GT/s,4.8 GT/s,6.4 GT/s,6.4 GT/s,2.5 GT/s,2.5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,4.8 GT/s,4.8 GT/s,6.4 GT/s,6.4 GT/s,6.4 GT/s,6.4 GT/s,6.4 GT/s,6.4 GT/s,6.4 GT/s,6.4 GT/s,6.4 GT/s,6.4 GT/s,6.4 GT/s,5.86 GT/s,6.4 GT/s,5.86 GT/s,6.4 GT/s,6.4 GT/s,,,2.5 GT/s,2.5 GT/s,2.5 GT/s,2.5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,,5 GT/s,5 GT/s,,5 GT/s,2.5 GT/s,
TDP,82 W,,,,,,,,82 W,,13 W,45 W,55 W,73 W,130 W,155 W,185 W,185 W,10 W,35 W,35 W,35 W,73 W,73 W,87 W,73 W,25 W,35 W,18 W,25 W,73 W,73 W,73 W,35 W,35 W,18 W,30 W,85 W,48 W,30 W,35 W,18 W,130 W,130 W,130 W,95 W,95 W,95 W,95 W,80 W,80 W,80 W,60 W,40 W,40 W,130 W,130 W,130 W,25 W,18 W,35 W,35 W,35 W,35 W,95 W,82 W,95 W,95 W,95 W,73 W,73 W,73 W,60 W,40 W,80 W,35 W,18 W,35 W,18 W,45 W,35 W,18 W,18 W,18 W,18 W,10 W,13 W,6.5 W,6.5 W,35 W,35 W,25 W,18 W,18 W,35 W,,18 W,18 W,18 W,18 W,45 W,35 W,8.5 W,35 W,35 W,73 W,35 W,35 W,35 W,95 W,95 W,65 W,95 W,95 W,65 W,45 W,95 W,95 W,65 W,45 W,35 W,35 W,45 W,35 W,35 W,55 W,35 W,3.3 W,3.3 W,3.6 W,3.6 W,3.6 W,3.6 W,4.5 W,4.5 W,130 W,95 W,130 W,95 W,130 W,80 W,80 W,80 W,80 W,130 W,130 W,35 W,35 W,20 W,65 W,35 W,65 W,65 W,35 W,35 W,35 W,45 W,45 W,65 W,35 W,65 W,65 W,65 W,105 W,95 W,130 W,130 W,130 W,130 W,130 W,130 W,130 W,105 W,130 W,130 W,130 W,105 W,105 W,105 W,105 W,105 W,,,7 W,7 W,7 W,7 W,25 W,25 W,17 W,17 W,17 W,25 W,35 W,45 W,17 W,35 W,65 W,8.5 W,35 W
FSB Parity,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of QPI Links,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,,,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Turbo Boost Technology 2.0 Frequency‡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.30 GHz,3.30 GHz,,,,,,,,3.10 GHz,3.40 GHz,3.30 GHz,3.70 GHz,3.70 GHz,3.70 GHz,3.30 GHz,3.80 GHz,3.80 GHz,3.80 GHz,2.90 GHz,,2.90 GHz,3.40 GHz,3.20 GHz,3.40 GHz,3.50 GHz,,,,,,,,,,,,,,,,,,,,,,,3.40 GHz,,,,,,3.50 GHz,3.10 GHz,2.90 GHz,3.00 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00 GHz,3.20 GHz,2.70 GHz,2.60 GHz,2.30 GHz,2.90 GHz,,3.00 GHz,2.40 GHz,3.10 GHz,,,

Supplemental Information
Marketing Status,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued
