ARK | Intel® Product Specification Comparison
01/25/2024 11:24:49 AM
 ,Intel® Pentium® Processor G6951 ,Intel Atom® Processor Z600 ,Intel Atom® Processor Z615 ,Intel Atom® Processor Z625 ,Intel® Xeon® Processor E3-1220 ,Intel® Xeon® Processor E3-1225 ,Intel® Xeon® Processor E3-1230 ,Intel® Xeon® Processor E3-1235 ,Intel® Xeon® Processor E3-1240 ,Intel® Xeon® Processor E3-1245 ,Intel® Xeon® Processor E3-1260L ,Intel® Xeon® Processor E3-1270 ,Intel® Xeon® Processor E3-1275 ,Intel® Xeon® Processor E3-1280 ,Intel® Celeron® Processor G530 ,Intel® Celeron® Processor G530T ,Intel® Celeron® Processor G540 ,Intel® Celeron® Processor G540T ,Intel® Celeron® Processor G550 ,Intel® Core™ i3-2120T Processor ,Intel® Core™ i3-2130 Processor ,Intel® Core™ i3-2330E Processor ,Intel® Core™ i3-2330M Processor ,Intel® Core™ i3-2350M Processor ,Intel® Core™ i3-2370M Processor ,Intel® Core™ i5-2310 Processor ,Intel® Core™ i5-2320 Processor ,Intel® Core™ i5-2430M Processor ,Intel® Core™ i5-2450M Processor ,Intel® Core™ i7-2640M Processor ,Intel® Core™ i7-2670QM Processor ,Intel® Core™ i7-2675QM Processor ,Intel® Core™ i7-2760QM Processor ,Intel® Core™ i7-2860QM Processor ,Intel® Core™ i7-2960XM Processor Extreme Edition ,Intel® Pentium® Processor G630 ,Intel® Pentium® Processor G630T ,Intel® Pentium® Processor G632 ,Intel® Pentium® Processor G640 ,Intel® Pentium® Processor G640T ,Intel® Pentium® Processor G860 ,Intel® Pentium® Processor G870 ,Intel® Core™ i7-2677M Processor ,Intel® Core™ i7-2637M Processor ,Intel® Core™ i5-2557M Processor ,Intel® Core™ i3-2357M Processor ,Intel® Core™ i3-2340UE Processor ,Intel® Core™ i3-2377M Processor ,Intel® Core™ i5-2405S Processor ,Intel® Xeon® Processor E3-1290 ,Intel® Pentium® Processor B940 ,Intel® Pentium® Processor B950 ,Intel® Pentium® Processor 957 ,Intel Atom® Processor Z670 ,Intel Atom® Processor Z650 ,Intel® Celeron® Processor B810E ,Intel® Celeron® Processor 847E ,Intel® Celeron® Processor 827E ,Intel® Celeron® Processor 847 ,Intel® Core™ i5-2467M Processor ,Intel® Core™ i7-980 Processor ,Intel® Celeron® Processor G440 ,Intel Atom® Processor N2600 ,Intel Atom® Processor N2800 ,Intel® Core™ i3-2125 Processor ,Intel® Celeron® Processor B710 ,Intel® Celeron® Processor B800 ,Intel® Celeron® Processor 787 ,Intel® Celeron® Processor 857 ,Intel Atom® Processor D2500 ,Intel Atom® Processor D2700 ,Intel® Core™ i3-2367M Processor ,Intel® Celeron® Processor B840 ,Intel® Pentium® Processor 967 ,Intel® Pentium® Processor B960 ,Intel® Core™ i5-2435M Processor ,Intel® Core™ i7-2700K Processor ,Intel® Xeon® Processor E5-2648L ,Intel® Xeon® Processor E5-2658 ,Intel® Celeron® Processor 807UE ,Intel® Core™ i7-3960X Processor Extreme Edition ,Intel® Core™ i7-3930K Processor ,Intel® Core™ i7-3820 Processor ,Intel® Celeron® Processor G460 ,Intel® Pentium® Processor B970 ,Intel® Pentium® Processor 977 ,Intel® Celeron® Processor 797 ,Intel® Celeron® Processor 867 ,Intel® Celeron® Processor B815 ,Intel® Celeron® Processor B720 ,Intel® Xeon® Processor E5-2687W ,Intel® Xeon® Processor E5-2680 ,Intel® Xeon® Processor E5-2660 ,Intel® Xeon® Processor E5-2650L ,Intel® Xeon® Processor E5-2630L ,Intel® Xeon® Processor E5-2643 ,Intel® Xeon® Processor E5-2609 ,Intel® Xeon® Processor E5-2667 ,Intel® Xeon® Processor E5-2650 ,Intel® Xeon® Processor E5-2640 ,Intel® Xeon® Processor E5-2603 ,Intel® Xeon® Processor E5-2630 ,Intel® Xeon® Processor E5-2620 ,Intel® Xeon® Processor E5-2670 ,Intel® Xeon® Processor E5-2690 ,Intel® Xeon® Processor E5-2665 ,Intel® Xeon® Processor E5-2637 ,Intel® Xeon® Processor E5-1650 ,Intel® Xeon® Processor E5-4610 ,Intel® Xeon® Processor E5-4640 ,Intel® Xeon® Processor E5-4607 ,Intel® Xeon® Processor E5-4650L ,Intel® Xeon® Processor E5-4620 ,Intel® Xeon® Processor E5-4617 ,Intel® Xeon® Processor E5-4603 ,Intel® Xeon® Processor E5-2450L ,Intel® Xeon® Processor E5-2450 ,Intel® Xeon® Processor E5-2440 ,Intel® Xeon® Processor E5-2430L ,Intel® Xeon® Processor E5-2407 ,Intel® Xeon® Processor E5-2403 ,Intel® Xeon® Processor E5-2430 ,Intel® Xeon® Processor E5-2420 ,Intel® Xeon® Processor E5-1660 ,Intel® Xeon® Processor E5-1620 ,Intel® Xeon® Processor E5-4650 ,Intel® Xeon® Processor E5-2470 ,Intel® Core™ i5-2450P Processor ,Intel® Core™ i5-2380P Processor ,Intel® Core™ i7-3920XM Processor Extreme Edition ,Intel® Core™ i7-3820QM Processor ,Intel® Core™ i7-3720QM Processor ,Intel® Core™ i7-3520M Processor ,Intel® Core™ i5-3360M Processor ,Intel® Core™ i5-3320M Processor ,Intel® Core™ i7-3667U Processor ,Intel® Core™ i7-3610QM Processor ,Intel® Core™ i7-3615QM Processor ,Intel® Core™ i7-3612QM Processor ,Intel® Core™ i5-3427U Processor ,Intel Atom® Processor D2550 ,Intel® Core™ i5-3450 Processor ,Intel® Core™ i5-3450S Processor ,Intel® Core™ i5-3475S Processor ,Intel® Core™ i5-3550 Processor ,Intel® Core™ i5-3550S Processor ,Intel® Core™ i5-3570K Processor ,Intel® Core™ i5-3570T Processor ,Intel® Core™ i7-3770K Processor ,Intel® Core™ i7-3770S Processor ,Intel® Core™ i7-3770T Processor ,Intel® Core™ i5-2550K Processor ,Intel® Core™ i3-3217UE Processor ,Intel® Core™ i3-3217U Processor ,Intel® Core™ i3-3120ME Processor ,Intel® Core™ i3-3110M Processor ,Intel® Core™ i5-3570S Processor ,Intel® Core™ i5-3570 Processor ,Intel® Core™ i5-3470T Processor ,Intel® Core™ i5-3610ME Processor ,Intel® Core™ i5-3317U Processor ,Intel® Core™ i5-3210M Processor ,Intel® Core™ i7-3615QE Processor ,Intel® Core™ i7-3612QE Processor ,Intel® Core™ i7-3610QE Processor ,Intel® Core™ i7-3555LE Processor ,Intel® Core™ i7-3517UE Processor ,Intel® Core™ i7-3517U Processor ,Intel® Core™ i7-3770 Processor ,Intel® Xeon® Processor E3-1290 v2 ,Intel® Xeon® Processor E3-1280 v2 ,Intel® Xeon® Processor E3-1275 v2 ,Intel® Xeon® Processor E3-1270 v2 ,Intel® Xeon® Processor E3-1265L v2 ,Intel® Xeon® Processor E3-1245 v2 ,Intel® Xeon® Processor E3-1240 v2 ,Intel® Xeon® Processor E3-1230 v2 ,Intel® Xeon® Processor E3-1225 v2 ,Intel® Xeon® Processor E3-1220 v2 ,Intel® Xeon® Processor E3-1220L v2 ,Intel® Pentium® Processor 1405 ,Intel® Xeon® Processor E5-1428L ,Intel® Pentium® Processor G860T ,Intel® Xeon® Processor E5-2448L ,Intel® Xeon® Processor E5-2428L ,Intel® Xeon® Processor E5-2418L ,Intel® Celeron® Processor 877 ,Intel® Celeron® Processor B820 ,Intel® Core™ i5-3210M Processor ,Intel® Core™ i7-3612QM Processor ,Intel® Celeron® Processor 807 ,Intel® Core™ i5-3470S Processor ,Intel® Core™ i5-3470 Processor ,Intel® Xeon® Processor E3-1125C ,Intel® Xeon® Processor E3-1105C ,Intel® Core™ i3-2115C Processor ,Intel® Pentium® Processor B915C ,Intel® Celeron® Processor 725C ,Intel® Pentium® Processor B980 ,Intel Atom® Processor Z2460 
Total Threads,2,2,2,2,4,4,8,8,8,8,8,8,8,8,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,2,2,2,2,2,2,2,4,4,4,4,4,4,4,8,2,2,2,2,2,2,2,1,,4,12,1,4,4,4,1,2,1,2,2,4,4,2,2,2,4,8,16,16,1,12,12,8,2,2,2,1,2,2,1,16,16,16,16,12,8,4,12,16,12,4,12,12,16,16,16,4,12,12,16,12,16,16,6,8,16,16,12,12,4,4,12,12,12,8,16,16,4,4,8,8,8,4,4,4,4,8,8,8,4,4,4,4,4,4,4,4,4,8,8,8,4,4,4,4,4,4,4,4,4,4,4,8,8,8,4,4,4,8,8,8,8,8,8,8,8,8,4,4,4,2,12,2,16,12,8,2,2,4,8,2,4,4,8,8,4,4,2,2,2
Processor Base Frequency,2.80 GHz,1.20 GHz,1.60 GHz,1.90 GHz,3.10 GHz,3.10 GHz,3.20 GHz,3.20 GHz,3.30 GHz,3.30 GHz,2.40 GHz,3.40 GHz,3.40 GHz,3.50 GHz,2.40 GHz,2.00 GHz,2.50 GHz,2.10 GHz,2.60 GHz,2.60 GHz,3.40 GHz,2.20 GHz,2.20 GHz,2.30 GHz,2.40 GHz,2.90 GHz,3.00 GHz,2.40 GHz,2.50 GHz,2.80 GHz,2.20 GHz,2.20 GHz,2.40 GHz,2.50 GHz,2.70 GHz,2.70 GHz,2.30 GHz,2.70 GHz,2.80 GHz,2.40 GHz,3.00 GHz,3.10 GHz,1.80 GHz,1.70 GHz,1.70 GHz,1.30 GHz,1.30 GHz,1.50 GHz,2.50 GHz,3.60 GHz,2.00 GHz,2.10 GHz,1.20 GHz,1.50 GHz,1.20 GHz,1.60 GHz,1.10 GHz,1.40 GHz,,1.60 GHz,3.33 GHz,1.60 GHz,1.60 GHz,1.86 GHz,3.30 GHz,1.60 GHz,1.50 GHz,1.30 GHz,1.20 GHz,1.86 GHz,2.13 GHz,1.40 GHz,1.90 GHz,1.30 GHz,2.20 GHz,2.40 GHz,3.50 GHz,1.80 GHz,2.10 GHz,1.00 GHz,3.30 GHz,3.20 GHz,3.60 GHz,1.80 GHz,2.30 GHz,1.40 GHz,1.40 GHz,1.30 GHz,1.60 GHz,1.70 GHz,3.10 GHz,2.70 GHz,2.20 GHz,1.80 GHz,2.00 GHz,3.30 GHz,2.40 GHz,2.90 GHz,2.00 GHz,2.50 GHz,1.80 GHz,2.30 GHz,2.00 GHz,2.60 GHz,2.90 GHz,2.40 GHz,3.00 GHz,3.20 GHz,2.40 GHz,2.40 GHz,2.20 GHz,2.60 GHz,2.20 GHz,2.90 GHz,2.00 GHz,1.80 GHz,2.10 GHz,2.40 GHz,2.00 GHz,2.20 GHz,1.80 GHz,2.20 GHz,1.90 GHz,3.30 GHz,3.60 GHz,2.70 GHz,2.30 GHz,3.20 GHz,3.10 GHz,2.90 GHz,2.70 GHz,2.60 GHz,2.90 GHz,2.80 GHz,2.60 GHz,2.00 GHz,2.30 GHz,2.30 GHz,2.10 GHz,1.80 GHz,1.86 GHz,3.10 GHz,2.80 GHz,2.90 GHz,3.30 GHz,3.00 GHz,3.40 GHz,2.30 GHz,3.50 GHz,3.10 GHz,2.50 GHz,3.40 GHz,1.60 GHz,1.80 GHz,2.40 GHz,2.40 GHz,3.10 GHz,3.40 GHz,2.90 GHz,2.70 GHz,1.70 GHz,2.50 GHz,2.30 GHz,2.10 GHz,2.30 GHz,2.50 GHz,1.70 GHz,1.90 GHz,3.40 GHz,3.70 GHz,3.60 GHz,3.50 GHz,3.50 GHz,2.50 GHz,3.40 GHz,3.40 GHz,3.30 GHz,3.20 GHz,3.10 GHz,2.30 GHz,1.20 GHz,1.80 GHz,2.60 GHz,1.80 GHz,1.80 GHz,2.00 GHz,1.40 GHz,1.70 GHz,2.50 GHz,2.10 GHz,1.50 GHz,2.90 GHz,3.20 GHz,2.00 GHz,1.00 GHz,2.00 GHz,1.50 GHz,1.30 GHz,2.40 GHz,
Cache,3 MB Intel® Smart Cache,512 KB Intel® Smart Cache,512 KB Intel® Smart Cache,512 KB Intel® Smart Cache,8 MB Intel® Smart Cache,6 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB L3 Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,4 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,4 MB L3 Cache,4 MB L3 Cache,3 MB L3 Cache,3 MB L3 Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,6 MB Intel® Smart Cache,8 MB Intel® Smart Cache,2 MB L3 Cache,2 MB L3 Cache,2 MB L3 Cache,512 KB,512 KB L2 Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,1.5 MB Intel® Smart Cache,,3 MB L3 Cache,12 MB Intel® Smart Cache,1 MB Intel® Smart Cache,1 MB L2 Cache,1 MB L2 Cache,3 MB Intel® Smart Cache,1.5 MB L3 Cache,2 MB L3 Cache,1.5 MB L3 Cache,2 MB L3 Cache,1 MB L2 Cache,1 MB L2 Cache,3 MB Intel® Smart Cache,2 MB L3 Cache,2 MB L3 Cache,2 MB L3 Cache,3 MB Intel® Smart Cache,8 MB Intel® Smart Cache,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,1 MB Intel® Smart Cache,15 MB Intel® Smart Cache,12 MB Intel® Smart Cache,10 MB Intel® Smart Cache,1.5 MB Intel® Smart Cache,2 MB L3 Cache,2 MB L3 Cache,1.5 MB L3 Cache,2 MB L3 Cache,2 MB L3 Cache,1.5 MB L3 Cache,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,15 MB Intel® Smart Cache,10 MB Intel® Smart Cache,10 MB Intel® Smart Cache,15 MB Intel® Smart Cache,20 MB Intel® Smart Cache,15 MB Intel® Smart Cache,10 MB Intel® Smart Cache,15 MB Intel® Smart Cache,15 MB Intel® Smart Cache,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,5 MB Intel® Smart Cache,12 MB Intel® Smart Cache,15 MB Intel® Smart Cache,20 MB Intel® Smart Cache,12 MB Intel® Smart Cache,20 MB Intel® Smart Cache,16 MB Intel® Smart Cache,15 MB Intel® Smart Cache,10 MB Intel® Smart Cache,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,15 MB Intel® Smart Cache,15 MB Intel® Smart Cache,10 MB Intel® Smart Cache,10 MB Intel® Smart Cache,15 MB Intel® Smart Cache,15 MB Intel® Smart Cache,15 MB Intel® Smart Cache,10 MB Intel® Smart Cache,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,6 MB Intel® Smart Cache,4 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,4 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,3 MB Intel® Smart Cache,1 MB L2 Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,6 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,3 MB Intel® Smart Cache,5 MB Intel® Smart Cache,15 MB L3 Cache,3 MB Intel® Smart Cache,20 MB Intel® Smart Cache,15 MB Intel® Smart Cache,10 MB Intel® Smart Cache,2 MB L3 Cache,2 MB,3 MB Intel® Smart Cache,6 MB Intel® Smart Cache,1.5 MB L3 Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,8 MB L3 Cache,6 MB L3 Cache,3 MB Intel® Smart Cache,3 MB L3 Cache,1.5 MB L3 Cache,2 MB,512 KB Intel® Smart Cache
Bus Speed,2.5 GT/s,400 MHz,400 MHz,400 MHz,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,,5 GT/s,5 GT/s,5 GT/s,,5 GT/s,,,,,,,,5 GT/s,4.8 GT/s,5 GT/s,2.5 GT/s,2.5 GT/s,5 GT/s,,5 GT/s,5 GT/s,5 GT/s,2.5 GT/s,2.5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,8 GT/s,8 GT/s,,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,7.2 GT/s,8 GT/s,6.4 GT/s,8 GT/s,8 GT/s,7.2 GT/s,6.4 GT/s,7.2 GT/s,7.2 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,0,7.2 GT/s,8 GT/s,6.4 GT/s,8 GT/s,7.2 GT/s,7.2 GT/s,6.4 GT/s,8 GT/s,8 GT/s,7.2 GT/s,7.2 GT/s,6.4 GT/s,6.4 GT/s,7.2 GT/s,7.2 GT/s,0,0,8 GT/s,8 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,0 GT/s,0 GT/s,5 GT/s,8 GT/s,7.2 GT/s,6.4 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,,,5 GT/s,,,5 GT/s,
TDP,73 W,1.3 W,2.2 W,2.2 W,80 W,95 W,80 W,95 W,80 W,95 W,45 W,80 W,95 W,95 W,65 W,35 W,65 W,35 W,65 W,35 W,65 W,35 W,35 W,35 W,35 W,95 W,95 W,35 W,35 W,35 W,45 W,45 W,45 W,45 W,55 W,65 W,35 W,65 W,65 W,35 W,65 W,65 W,17 W,17 W,17 W,17 W,17 W,17 W,65 W,95 W,35 W,35 W,17 W,3 W,3 W,35 W,17 W,17 W,,17 W,130 W,35 W,3.5 W,6.5 W,65 W,35 W,35 W,17 W,17 W,10 W,10 W,17 W,35 W,17 W,35 W,35 W,95 W,70 W,95 W,10 W,130 W,130 W,130 W,35 W,35 W,17 W,17 W,17 W,35 W,35 W,150 W,130 W,95 W,70 W,60 W,130 W,80 W,130 W,95 W,95 W,80 W,95 W,95 W,115 W,135 W,115 W,80 W,130 W,95 W,95 W,95 W,115 W,95 W,130 W,95 W,70 W,95 W,95 W,60 W,80 W,80 W,95 W,95 W,130 W,130 W,130 W,95 W,95 W,95 W,55 W,45 W,45 W,35 W,35 W,35 W,17 W,45 W,45 W,35 W,17 W,10 W,77 W,65 W,65 W,77 W,65 W,77 W,45 W,77 W,65 W,45 W,95 W,17 W,17 W,35 W,35 W,65 W,77 W,35 W,35 W,17 W,35 W,45 W,35 W,45 W,25 W,17 W,17 W,77 W,87 W,69 W,77 W,69 W,45 W,77 W,69 W,69 W,77 W,69 W,17 W,40 W,60 W,35 W,70 W,60 W,50 W,17 W,35 W,35 W,35 W,17 W,65 W,77 W,40 W,25 W,25 W,15 W,10 W,35 W,
Max Turbo Frequency,,,,,3.40 GHz,3.40 GHz,3.60 GHz,3.60 GHz,3.70 GHz,3.70 GHz,3.30 GHz,3.80 GHz,3.80 GHz,3.90 GHz,,,,,,,,,,,,3.20 GHz,3.30 GHz,3.00 GHz,3.10 GHz,3.50 GHz,3.10 GHz,3.10 GHz,3.50 GHz,3.60 GHz,3.70 GHz,,,,,,,,2.90 GHz,2.80 GHz,2.70 GHz,,,,3.30 GHz,4.00 GHz,,,,,,,,,,2.30 GHz,3.60 GHz,,,,,,,,,,,,,,,3.00 GHz,3.90 GHz,2.10 GHz,2.40 GHz,,3.90 GHz,3.80 GHz,3.80 GHz,,,,,,,,3.80 GHz,3.50 GHz,3.00 GHz,2.30 GHz,2.50 GHz,3.50 GHz,,3.50 GHz,2.80 GHz,3.00 GHz,,2.80 GHz,2.50 GHz,3.30 GHz,3.80 GHz,3.10 GHz,3.50 GHz,3.80 GHz,2.90 GHz,2.80 GHz,,3.10 GHz,2.60 GHz,3.40 GHz,,2.30 GHz,2.90 GHz,2.90 GHz,2.50 GHz,,,2.70 GHz,2.40 GHz,3.90 GHz,3.80 GHz,3.30 GHz,3.10 GHz,3.50 GHz,3.40 GHz,3.80 GHz,3.70 GHz,3.60 GHz,3.60 GHz,3.50 GHz,3.30 GHz,3.20 GHz,3.30 GHz,3.30 GHz,3.10 GHz,2.80 GHz,,3.50 GHz,3.50 GHz,3.60 GHz,3.70 GHz,3.70 GHz,3.80 GHz,3.30 GHz,3.90 GHz,3.90 GHz,3.70 GHz,3.80 GHz,,,,,3.80 GHz,3.80 GHz,3.60 GHz,3.30 GHz,2.60 GHz,3.10 GHz,3.30 GHz,3.10 GHz,3.30 GHz,3.20 GHz,2.80 GHz,3.00 GHz,3.90 GHz,4.10 GHz,4.00 GHz,3.90 GHz,3.90 GHz,3.50 GHz,3.80 GHz,3.80 GHz,3.70 GHz,3.60 GHz,3.50 GHz,3.50 GHz,1.80 GHz,,,2.10 GHz,2.00 GHz,2.10 GHz,,,3.10 GHz,3.10 GHz,,3.60 GHz,3.60 GHz,,,,,,,
Intel® Turbo Boost Technology 2.0 Frequency‡,,,,,3.40 GHz,3.40 GHz,3.60 GHz,3.60 GHz,3.70 GHz,3.70 GHz,3.30 GHz,3.80 GHz,3.80 GHz,3.90 GHz,,,,,,,,,,,,3.20 GHz,3.30 GHz,3.00 GHz,3.10 GHz,3.50 GHz,3.10 GHz,3.10 GHz,3.50 GHz,3.60 GHz,3.70 GHz,,,,,,,,2.90 GHz,2.80 GHz,2.70 GHz,,,,3.30 GHz,4.00 GHz,,,,,,,,,,2.30 GHz,,,,,,,,,,,,,,,,3.00 GHz,3.90 GHz,2.10 GHz,2.40 GHz,,3.90 GHz,3.80 GHz,3.80 GHz,,,,,,,,3.80 GHz,3.50 GHz,3.00 GHz,2.30 GHz,2.50 GHz,3.50 GHz,,3.50 GHz,2.80 GHz,,,,,3.30 GHz,3.80 GHz,3.10 GHz,3.50 GHz,3.80 GHz,2.90 GHz,2.80 GHz,,3.10 GHz,2.60 GHz,3.40 GHz,,2.30 GHz,2.90 GHz,,2.50 GHz,,,,,3.90 GHz,3.80 GHz,3.30 GHz,3.10 GHz,3.50 GHz,3.40 GHz,3.80 GHz,3.70 GHz,3.60 GHz,3.60 GHz,3.50 GHz,3.30 GHz,3.20 GHz,3.30 GHz,3.30 GHz,3.10 GHz,2.80 GHz,,3.50 GHz,3.50 GHz,3.60 GHz,3.70 GHz,3.70 GHz,3.80 GHz,3.30 GHz,3.90 GHz,3.90 GHz,3.70 GHz,3.80 GHz,,,,,3.80 GHz,3.80 GHz,3.60 GHz,3.30 GHz,2.60 GHz,3.10 GHz,3.30 GHz,3.10 GHz,3.30 GHz,3.20 GHz,2.80 GHz,3.00 GHz,3.90 GHz,4.10 GHz,4.00 GHz,3.90 GHz,3.90 GHz,3.50 GHz,3.80 GHz,3.80 GHz,3.70 GHz,3.60 GHz,3.50 GHz,3.50 GHz,,,,2.10 GHz,2.00 GHz,2.10 GHz,,,3.10 GHz,3.10 GHz,,3.60 GHz,3.60 GHz,,,,,,,
# of QPI Links,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,,,,,,,,,,,,,,
Supported FSBs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burst Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60 GHz

Supplemental Information
